Fecha;Region Hidrologica;Nombre Río;Aportes Caudal m3/s;Aportes Energía kWh;Aportes %
2001-01-01;ANTIOQUIA;A. SAN LORENZO;34,81;7.384.500,00;122,46%
2001-01-01;ANTIOQUIA;CONCEPCION;5,34;1.097.200,00;109,72%
2001-01-01;ANTIOQUIA;DESV. EEPPM (NEC,PAJ,DOL);9,92;2.038.200,00;129,82%
2001-01-01;ANTIOQUIA;GRANDE;25,81;4.782.100,00;110,70%
2001-01-01;ANTIOQUIA;GUADALUPE;26,81;5.508.500,00;191,27%
2001-01-01;ANTIOQUIA;GUATAPE;36,96;5.863.300,00;161,97%
2001-01-01;ANTIOQUIA;NARE;34,79;11.298.700,00;99,72%
2001-01-01;ANTIOQUIA;SAN CARLOS;22,09;2.663.000,00;121,60%
2001-01-01;ANTIOQUIA;TENCHE;3,26;669.800,00;117,51%
2001-01-01;CENTRO;BOGOTA N.R.;39,14;14.169.300,00;455,60%
2001-01-01;CENTRO;MAGDALENA BETANIA;179,53;2.523.600,00;63,73%
2001-01-01;CENTRO;PRADO;13,90;138.100,00;28,77%
2001-01-01;ORIENTE;BATA;43,56;6.657.400,00;273,97%
2001-01-01;ORIENTE;CHUZA;21,46;7.768.900,00;658,38%
2001-01-01;ORIENTE;GUAVIO;65,54;15.635.200,00;336,97%
2001-01-01;RIOS ESTIMADOS;OTROS RIOS (ESTIMADOS);;4.417.100,00;164,82%
2001-01-01;VALLE;ALTOANCHICAYA;32,96;3.290.700,00;81,45%
2001-01-01;VALLE;CALIMA;4,80;205.100,00;43,64%
2001-01-01;VALLE;CAUCA SALVAJINA;116,53;2.581.400,00;71,11%
2001-01-01;VALLE;DIGUA;16,35;227.600,00;63,22%
2001-01-01;VALLE;FLORIDA II;12,57;283.000,00;141,50%
2001-01-02;ANTIOQUIA;A. SAN LORENZO;14,46;3.067.500,00;50,87%
2001-01-02;ANTIOQUIA;CONCEPCION;4,41;906.100,00;90,61%
2001-01-02;ANTIOQUIA;DESV. EEPPM (NEC,PAJ,DOL);8,20;1.684.800,00;107,31%
2001-01-02;ANTIOQUIA;GRANDE;21,80;4.039.100,00;93,50%
2001-01-02;ANTIOQUIA;GUADALUPE;18,51;3.803.100,00;132,05%
2001-01-02;ANTIOQUIA;GUATAPE;18,53;2.939.600,00;81,20%
2001-01-02;ANTIOQUIA;NARE;32,41;10.525.700,00;92,90%
2001-01-02;ANTIOQUIA;SAN CARLOS;14,17;1.708.200,00;78,00%
2001-01-02;ANTIOQUIA;TENCHE;2,45;503.400,00;88,32%
2001-01-02;CENTRO;BOGOTA N.R.;0,00;;
2001-01-02;CENTRO;MAGDALENA BETANIA;367,68;5.168.400,00;130,52%
2001-01-02;CENTRO;PRADO;13,94;138.500,00;28,85%
2001-01-02;ORIENTE;BATA;29,65;4.531.500,00;186,48%
2001-01-02;ORIENTE;CHUZA;6,99;2.530.500,00;214,45%
2001-01-02;ORIENTE;GUAVIO;33,97;8.103.900,00;174,65%
2001-01-02;RIOS ESTIMADOS;OTROS RIOS (ESTIMADOS);;2.608.200,00;97,32%
2001-01-02;VALLE;ALTOANCHICAYA;28,37;2.832.500,00;70,11%
2001-01-02;VALLE;CALIMA;6,37;272.100,00;57,89%
2001-01-02;VALLE;CAUCA SALVAJINA;82,32;1.823.600,00;50,24%
2001-01-02;VALLE;DIGUA;27,57;383.800,00;106,61%
2001-01-02;VALLE;FLORIDA II;11,78;265.200,00;132,60%
2001-01-03;ANTIOQUIA;A. SAN LORENZO;16,69;3.540.500,00;58,71%
2001-01-03;ANTIOQUIA;CONCEPCION;4,26;875.300,00;87,53%
2001-01-03;ANTIOQUIA;DESV. EEPPM (NEC,PAJ,DOL);7,90;1.623.200,00;103,39%
2001-01-03;ANTIOQUIA;GRANDE;21,71;4.022.400,00;93,11%
2001-01-03;ANTIOQUIA;GUADALUPE;16,57;3.404.500,00;118,21%
2001-01-03;ANTIOQUIA;GUATAPE;16,98;2.693.700,00;74,41%
2001-01-03;ANTIOQUIA;NARE;27,40;8.898.600,00;78,54%
2001-01-03;ANTIOQUIA;SAN CARLOS;12,78;1.540.700,00;70,35%
2001-01-03;ANTIOQUIA;TENCHE;0,82;168.500,00;29,56%
2001-01-03;CENTRO;BOGOTA N.R.;0,85;307.700,00;9,89%
2001-01-03;CENTRO;MAGDALENA BETANIA;176,38;2.479.300,00;62,61%
2001-01-03;CENTRO;PRADO;13,98;138.900,00;28,94%
2001-01-03;ORIENTE;BATA;26,00;3.973.600,00;163,52%
2001-01-03;ORIENTE;CHUZA;4,43;1.603.700,00;135,91%
2001-01-03;ORIENTE;GUAVIO;31,20;7.443.100,00;160,41%
2001-01-03;RIOS ESTIMADOS;OTROS RIOS (ESTIMADOS);;2.326.900,00;86,82%
2001-01-03;VALLE;ALTOANCHICAYA;25,65;2.560.900,00;63,39%
2001-01-03;VALLE;CALIMA;5,20;222.100,00;47,26%
2001-01-03;VALLE;CAUCA SALVAJINA;112,10;2.483.200,00;68,41%
2001-01-03;VALLE;DIGUA;21,17;294.700,00;81,86%
2001-01-03;VALLE;FLORIDA II;9,60;216.100,00;108,05%
2001-01-04;ANTIOQUIA;A. SAN LORENZO;16,69;3.540.500,00;58,71%
2001-01-04;ANTIOQUIA;CONCEPCION;4,17;856.800,00;85,68%
2001-01-04;ANTIOQUIA;DESV. EEPPM (NEC,PAJ,DOL);7,74;1.590.300,00;101,29%
2001-01-04;ANTIOQUIA;GRANDE;23,14;4.287.400,00;99,25%
2001-01-04;ANTIOQUIA;GUADALUPE;17,84;3.665.500,00;127,27%
2001-01-04;ANTIOQUIA;GUATAPE;39,51;6.267.900,00;173,15%
2001-01-04;ANTIOQUIA;NARE;23,81;7.732.700,00;68,25%
2001-01-04;ANTIOQUIA;SAN CARLOS;12,00;1.446.600,00;66,05%
2001-01-04;ANTIOQUIA;TENCHE;0,81;166.400,00;29,19%
2001-01-04;CENTRO;BOGOTA N.R.;1,99;720.400,00;23,16%
2001-01-04;CENTRO;MAGDALENA BETANIA;177,17;2.490.400,00;62,89%
2001-01-04;CENTRO;PRADO;7,90;78.500,00;16,35%
2001-01-04;ORIENTE;BATA;22,80;3.484.600,00;143,40%
2001-01-04;ORIENTE;CHUZA;3,94;1.426.300,00;120,87%
2001-01-04;ORIENTE;GUAVIO;25,50;6.083.300,00;131,11%
2001-01-04;RIOS ESTIMADOS;OTROS RIOS (ESTIMADOS);;2.355.200,00;87,88%
2001-01-04;VALLE;ALTOANCHICAYA;24,84;2.480.000,00;61,39%
2001-01-04;VALLE;CALIMA;4,14;176.900,00;37,64%
2001-01-04;VALLE;CAUCA SALVAJINA;80,54;1.784.100,00;49,15%
2001-01-04;VALLE;DIGUA;20,39;283.800,00;78,83%
2001-01-04;VALLE;FLORIDA II;8,85;199.200,00;99,60%
2001-01-05;ANTIOQUIA;A. SAN LORENZO;19,16;4.064.500,00;67,40%
2001-01-05;ANTIOQUIA;CONCEPCION;4,78;982.100,00;98,21%
2001-01-05;ANTIOQUIA;DESV. EEPPM (NEC,PAJ,DOL);8,88;1.824.500,00;116,21%
2001-01-05;ANTIOQUIA;GRANDE;24,34;4.509.700,00;104,39%
2001-01-05;ANTIOQUIA;GUADALUPE;15,56;3.197.000,00;111,01%
2001-01-05;ANTIOQUIA;GUATAPE;21,97;3.485.300,00;96,28%
2001-01-05;ANTIOQUIA;NARE;33,10;10.749.800,00;94,88%
2001-01-05;ANTIOQUIA;SAN CARLOS;11,42;1.376.700,00;62,86%
2001-01-05;ANTIOQUIA;TENCHE;0,82;168.500,00;29,56%
2001-01-05;CENTRO;BOGOTA N.R.;1,11;401.800,00;12,92%
2001-01-05;CENTRO;MAGDALENA BETANIA;174,76;2.456.600,00;62,04%
2001-01-05;CENTRO;PRADO;16,96;168.500,00;35,10%
2001-01-05;ORIENTE;BATA;20,85;3.186.500,00;131,13%
2001-01-05;ORIENTE;CHUZA;2,66;963.000,00;81,61%
2001-01-05;ORIENTE;GUAVIO;24,30;5.797.000,00;124,94%
2001-01-05;RIOS ESTIMADOS;OTROS RIOS (ESTIMADOS);;2.461.900,00;91,86%
2001-01-05;VALLE;ALTOANCHICAYA;38,87;3.880.800,00;96,06%
2001-01-05;VALLE;CALIMA;5,55;237.100,00;50,45%
2001-01-05;VALLE;CAUCA SALVAJINA;118,32;2.621.000,00;72,20%
2001-01-05;VALLE;DIGUA;12,91;179.700,00;49,92%
2001-01-05;VALLE;FLORIDA II;8,72;196.300,00;98,15%
2001-01-06;ANTIOQUIA;A. SAN LORENZO;16,83;3.570.200,00;59,21%
2001-01-06;ANTIOQUIA;CONCEPCION;4,19;860.900,00;86,09%
2001-01-06;ANTIOQUIA;DESV. EEPPM (NEC,PAJ,DOL);7,79;1.600.600,00;101,95%
2001-01-06;ANTIOQUIA;GRANDE;26,96;4.995.100,00;115,63%
2001-01-06;ANTIOQUIA;GUADALUPE;14,62;3.003.900,00;104,30%
2001-01-06;ANTIOQUIA;GUATAPE;17,67;2.803.200,00;77,44%
2001-01-06;ANTIOQUIA;NARE;35,67;11.584.500,00;102,25%
2001-01-06;ANTIOQUIA;SAN CARLOS;10,84;1.306.800,00;59,67%
2001-01-06;ANTIOQUIA;TENCHE;1,64;337.000,00;59,12%
2001-01-06;CENTRO;BOGOTA N.R.;2,72;984.700,00;31,66%
2001-01-06;CENTRO;MAGDALENA BETANIA;350,41;4.925.600,00;124,38%
2001-01-06;CENTRO;PRADO;18,19;180.700,00;37,65%
2001-01-06;ORIENTE;BATA;19,10;2.919.100,00;120,13%
2001-01-06;ORIENTE;CHUZA;2,09;756.600,00;64,12%
2001-01-06;ORIENTE;GUAVIO;23,62;5.634.800,00;121,44%
2001-01-06;RIOS ESTIMADOS;OTROS RIOS (ESTIMADOS);;2.576.400,00;96,13%
2001-01-06;VALLE;ALTOANCHICAYA;39,09;3.902.700,00;96,60%
2001-01-06;VALLE;CALIMA;1,04;44.400,00;9,45%
2001-01-06;VALLE;CAUCA SALVAJINA;133,10;2.948.400,00;81,22%
2001-01-06;VALLE;DIGUA;14,14;196.800,00;54,67%
2001-01-06;VALLE;FLORIDA II;8,93;201.000,00;100,50%
2001-01-07;ANTIOQUIA;A. SAN LORENZO;15,87;3.366.600,00;55,83%
2001-01-07;ANTIOQUIA;CONCEPCION;4,09;840.300,00;84,03%
