;sexo;tipo_de_emprendimiento;idea_negocio;barrio;estrato;comuna_ciudadano;fecha_de_beneficio;monto_del_credito;línea_credito
0;masculino;Comercio;variedades;belen;2;8.0;11/10/2018;6000000;microempresarial
1;masculino;servicio;ebanistaria;13 de noviembre;1;8.0;10/05/2019;8281000;MICROEMPRESARIAL
2;femenino;servicio;peluqueria;SAN BERNARDO;3;16.0;24/05/2019;8000000;microempresarial
3;femenino;industria;cerrajeria;belencito;2;13.0;25/05/2018;7800000;microempresarial
4;masculino;servicio;comidas rapidas;belen;3;16.0;29/03/2016;4000000;microempresarial
5;masculino;comercio;distribuidora de ;manrique central no. 1;2;4.0;27/11/2018;2500000;microempresarial
6;femenino;servicio;peluqueria;campo valdes no. 1;2;4.0;6/09/2017;7000000;microempresarial
7;femenino;comercio;Licorera;guayabal;2;15.0;30/01/2019;5000000;microempresarial
8;femenino;Servicio;productos de belleza;la_america;3;12.0;5/09/2016;6890000;microempresarial
9;femenino;Industria;fabrica de ;enciso;1;8.0;5/12/2018;3000000;microempresarial
10;femenino;comercio;VARIEDADES;doce de octubre no.1;2;6.0;2/03/2017;3000000;microempresarial
11;masculino;servicio;productos de belleza;guayabal;3;15.0;2016/10/28;4615000;microempresarial
12;femenino;industria;fabrica de ;robledo;1;7.0;3/08/2018;3000000;microempresarial
13;femenino;servicio;peluqueria;doce de octubre no.1;2;6.0;13/09/2016;1500000;microempresarial
14;femenino;comercio;tienda;villa hermosa;3;8.0;8/04/2016;6890000;microempresarial
15;masculino;servicio;barberia;lopez de mesa;3;7.0;4/11/2016;6890000;microempresarial
16;femenino;servicio;tienda;santa cruz;2;2.0;28/07/2017;5000000;microempresarial
17;masculino;comercio;variedades;aranjuez;2;4.0;22/04/2016;6890000;microempresarial
18;femenino;comercio;papeleria;aranjuez;2;4.0;11/08/2017;7300000;microempresarial
19;femenino;comercio;legumbreria;maria cano ;2;3.0;26/04/2018;$ 7,000,000.00;microempresarial
20;femenino;servicio;lavadero de ;enciso;2;8.0;28/11/2016;6890000;microempresarial
21;masculino;industria;fabrica de ;campo valdes no. 1;3;4.0;7/06/2018;19500000;empresarial ed. 
22;femenino;comercio;tienda;robledo;2;7.0;12/10/2016;$ 6,890,000.00;microempresarial
23;masculino;comercio;tienda;manrique oriental;2;3.0;6/06/2019;4000000;credioportuno
24;femenino;comercio;almacen de ropa en ;manrique oriental;2;3.0;1/08/2017;7377000;microempresarial
25;femenino;comercio;variedades;cabecera san cristobal;3;5.0;1/06/2017;7000000;microempresarial
26;femenino;comercio;almacen de ropa en ;san javier no.1;2;13.0;7/03/2018;7800000;microempresarial
27;masculino;comercio;comidas rapidas;bombona no. 1;3;10.0;27/06/2017;2500000;microempresarial
28;femenino;comercio;variedades;cabecera san antonio ;2;80.0;22/02/2019;1000000;microempresarial
29;femenino;comercio;papeleria;aures no. 2;2;7.0;27/07/2018;5000000;microempresarial
30;femenino;comercio;variedades;moravia;2;4.0;29/09/2017;4400000;microempresarial
31;femenino;comercio;variedades;cabecera san antonio ;2;80.0;2017/11/16;7000000;microempresarial
32;femenino;comercio;almacen de ropa en ;manrique central no. 1;2;4.0;16/09/2016;6890000;microempresarial
33;MASCULINO;AGROPECUARIA;jardineria;cabecera san antonio ;2;80.0;24/04/2017;4500000;microempresarial
34;masculino;comercio;legumbreria;calasanz;3;12.0;20/11/2018;5000000;microempresarial
35;femenino;comercio;comidas rapidas;cabecera san cristobal;1;13.0;7/06/2019;4850000;microempresarial
36;femenino;comercio;fabrica de alimentos;el socorro;2;13.0;23/09/2016;5000000;microempresarial
37;femenino;industria;fabrica de ;villa niza;2;2.0;10/10/2016;5000000;microempresarial
38;femenino;comercio;almacen de ropa en ;20 de julio;1;13.0;8/06/2018;2000000;microempresarial
39;femenino;comercio;fabrica de alimentos;granizal;2;1.0;5/04/2018;7600000;microempresarial
40;femenino;comercio;cafeteria;manrique central no. 1;2;4.0;24/01/2018;800000;microempresarial
41;masculino;industria;Fabrica De Muebles;BELALCAZAR;3;5.0;12/10/2017;7372000;microempresarial
42;masculino;comercio;comidas rapidas;antonio nariño;2;13.0;13/07/2017;7370000;microempresarial
43;Masculino;industria;fabrica-de-;aranjuez;1;4.0;4/04/2018;7800000;microempresarial
44;femenino;industria;fabrica de ;Alfonso Lopez;3;5.0;1/12/2016;43435244;microempresarial
45;femenino;comercio;papeleria;san javier no.1;1;13.0;15/02/2018;6000000;microempresarial
46;masculino;comercio;variedades;doce_de_octubre_no.1;2;6.0;17/04/2017;1000000;microempresarial
47;femenino;comercio;tienda;enciso;2;8.0;25/05/2018;7000000;microempresarial
48;femenino;comercio;cafeteria;CASTILLA;2;5.0;24/10/2017;6000000;microempresarial
49;femenino;comercio;TIENDA;cabecera san antonio ;2;80.0;1/08/2016;5000000;microempresarial
50;femenino;servicio;comidas rapidas;manrique oriental;2;4.0;13/06/2019;8200000;microempresarial
51;masculino;agropecuaria;criadero de animales ;CABECERA SAN ANTONIO ;2;80.0;28/09/2017;14000000;fomento agropecuario
52;femenino;industria;fabrica de ;san pablo;2;1.0;16/11/2018;4000000;microempresarial
53;masculino;industria;fabrica de muebles;alfonso lopez;3;5.0;1/06/2017;1500000;microempresarial
54;masculino;comercio;deposito de ;popular;2;1.0;11/10/2018;7500000;microempresarial
55;femenino;industria;fabrica de ;cabecera_san_antonio_;3;80.0;9/11/2017;4000000;microempresarial
56;femenino;industria;fabrica de ;aranjuez;1;4.0;23/11/2017;4500000;microempresarial
57;femenino;comercio;almacen de ropa en ;boston;3;10.0;6/02/2017;7377000;microempresarial
58;masculino;comercio;EBANISTARIA;la loma;2;60.0;11/08/2017;5000000;microempresarial
59;femenino;comercio;restaurante;guayabal;3;15.0;6/06/2017;7377000;MICROEMPRESARIAL
60;masculino;comercio;almacen de ropa en ;La America;3;12.0;8/11/2018;3000000;microempresarial
61;femenino;industria;fabrica de ;robledo;2;7.0;29/07/2016;3000000;microempresarial
62;femenino;comercio;tienda;manrique central no. 1;2;4.0;8/08/2017;5000000;microempresarial
63;masculino;comercio;VENTA DE CALZADO;pedregal;3;6.0;21/06/2016;3500000;microempresarial
64;masculino;servicio;mantenimiento en ;santa elena central;2;90.0;1/02/2017;7300000;MICROEMPRESARIAL
65;masculino;servicio;fabrica de helados;florencia;3;5.0;27/02/2018;7800000;microempresarial
66;masculino;comercio;TIENDA;buenos aires;3;9.0;29/05/2018;7800000;microempresarial
67;femenino;comercio;almacen de ropa en ;la esperanza;1;6.0;12/04/2018;1200000;microempresarial
68;femenino;servicio;peluqueria;robledo;3;7.0;17/03/2017;3000000;microempresarial
69;masculino;comercio;reciclaje;cabecera san antonio ;2;80.0;2/05/2018;251102;microempresarial
70;Masculino;servicio;variedades;20 de julio;1;13.0;26/07/2016;6000000;Microempresarial
71;femenino;servicio;carniceria;llanaditas;01;8.0;18/10/2017;5000000;microempresarial
