Fecha;recurso;codigo_agente;combustible;consumo_combustible_mbtu
2020-01-01;BARRANQUILLA 3;TBSG;GAS;0,00
2020-01-01;BARRANQUILLA 3;TBSG;COMBUSTOLEO;0,00
2020-01-01;BARRANQUILLA 3;TBSG;GAS NI;0,00
2020-01-01;BARRANQUILLA 4;TBSG;GAS;0,00
2020-01-01;BARRANQUILLA 4;TBSG;COMBUSTOLEO;0,00
2020-01-01;BARRANQUILLA 4;TBSG;GAS NI;0,00
2020-01-01;CARTAGENA 1;ENDG;COMBUSTOLEO;0,00
2020-01-01;CARTAGENA 1;ENDG;GAS;0,00
2020-01-01;CARTAGENA 2;ENDG;GAS;0,00
2020-01-01;CARTAGENA 2;ENDG;COMBUSTOLEO;0,00
2020-01-01;CARTAGENA 3;ENDG;COMBUSTOLEO;0,00
2020-01-01;CARTAGENA 3;ENDG;GAS;0,00
2020-01-01;FLORES 1;TMFG;GAS NI;0,00
2020-01-01;FLORES 1;TMFG;GAS;0,00
2020-01-01;FLORES 4B;TMFG;GAS NI;0,00
2020-01-01;FLORES 4B;TMFG;GAS;41270,93
2020-01-01;GECELCA 3;GECG;CARBON;34395,99
2020-01-01;GECELCA 32;GECG;CARBON;47132,32
2020-01-01;GUAJIRA 1;GECG;GAS;8817,10
2020-01-01;GUAJIRA 1;GECG;CARBON;21836,03
2020-01-01;GUAJIRA 2;GECG;CARBON;3777,59
2020-01-01;GUAJIRA 2;GECG;GAS;433,84
2020-01-01;MERILECTRICA 1;EPSG;GAS;0,00
2020-01-01;PAIPA 1;HIMG;CARBON;9701,39
2020-01-01;PAIPA 2;HIMG;CARBON;18539,72
2020-01-01;PAIPA 3;HIMG;CARBON;15506,12
2020-01-01;PAIPA 4;SOCG;CARBON;32779,66
2020-01-01;PROELECTRICA 1;PRIG;GAS;311,00
2020-01-01;TASAJERO 1;TRMG;CARBON;9716,34
2020-01-01;TASAJERO 2;TERG;CARBON;29530,83
2020-01-01;TEBSAB;TBSG;GAS;70437,93
2020-01-01;TEBSAB;TBSG;GAS NI;0,00
2020-01-01;TERMOCANDELARIA 1;TCIG;GAS;0,00
2020-01-01;TERMOCANDELARIA 1;TCIG;ACPM;0,00
2020-01-01;TERMOCANDELARIA 1;TCIG;GAS NI;0,00
2020-01-01;TERMOCANDELARIA 2;TCIG;GAS;0,00
2020-01-01;TERMOCANDELARIA 2;TCIG;GAS NI;0,00
2020-01-01;TERMOCANDELARIA 2;TCIG;ACPM;0,00
2020-01-01;TERMOCENTRO CC;ISGG;GAS;0,00
2020-01-01;TERMOCENTRO CC;ISGG;QUEROSENE;0,00
2020-01-01;TERMODORADA 1;EPMG;GAS;0,00
2020-01-01;TERMODORADA 1;EPMG;ACPM;0,00
2020-01-01;TERMOEMCALI 1;TEMG;GAS;0,00
2020-01-01;TERMONORTE;TMNG;ACPM;0,00
2020-01-01;TERMONORTE;TMNG;GAS;0,00
2020-01-01;TERMONORTE;TMNG;COMBUSTOLEO;0,00
2020-01-01;TERMOSIERRAB;EPMG;GAS;36992,50
2020-01-01;TERMOSIERRAB;EPMG;ACPM;0,00
2020-01-01;TERMOVALLE 1;TMVG;GAS;0,00
2020-01-01;TERMOVALLE 1;TMVG;ACPM;0,00
2020-01-01;TERMOYOPAL 2;TYPG;GAS;8998,93
2020-01-01;ZIPAEMG 2;ENDG;CARBON;10516,26
2020-01-01;ZIPAEMG 4;ENDG;CARBON;621,39
2020-01-01;ZIPAEMG 5;ENDG;CARBON;735,03
2020-01-02;BARRANQUILLA 3;TBSG;GAS NI;0,00
2020-01-02;BARRANQUILLA 3;TBSG;COMBUSTOLEO;0,00
2020-01-02;BARRANQUILLA 3;TBSG;GAS;0,00
2020-01-02;BARRANQUILLA 4;TBSG;COMBUSTOLEO;0,00
2020-01-02;BARRANQUILLA 4;TBSG;GAS;0,00
2020-01-02;BARRANQUILLA 4;TBSG;GAS NI;0,00
2020-01-02;CARTAGENA 1;ENDG;GAS;0,00
2020-01-02;CARTAGENA 1;ENDG;COMBUSTOLEO;0,00
2020-01-02;CARTAGENA 2;ENDG;GAS;0,00
2020-01-02;CARTAGENA 2;ENDG;COMBUSTOLEO;0,00
2020-01-02;CARTAGENA 3;ENDG;COMBUSTOLEO;0,00
2020-01-02;CARTAGENA 3;ENDG;GAS;0,00
2020-01-02;FLORES 1;TMFG;GAS NI;0,00
2020-01-02;FLORES 1;TMFG;GAS;14755,24
2020-01-02;FLORES 4B;TMFG;GAS NI;0,00
2020-01-02;FLORES 4B;TMFG;GAS;50643,74
2020-01-02;GECELCA 3;GECG;CARBON;36733,21
2020-01-02;GECELCA 32;GECG;CARBON;51672,26
2020-01-02;GUAJIRA 1;GECG;CARBON;3985,39
2020-01-02;GUAJIRA 1;GECG;GAS;552,29
2020-01-02;GUAJIRA 2;GECG;CARBON;0,00
2020-01-02;GUAJIRA 2;GECG;GAS;0,00
2020-01-02;MERILECTRICA 1;EPSG;GAS;0,00
2020-01-02;PAIPA 1;HIMG;CARBON;9135,80
2020-01-02;PAIPA 2;HIMG;CARBON;21352,44
2020-01-02;PAIPA 3;HIMG;CARBON;18052,05
2020-01-02;PAIPA 4;SOCG;CARBON;29877,27
2020-01-02;PROELECTRICA 1;PRIG;GAS;6638,00
2020-01-02;TASAJERO 1;TRMG;CARBON;10916,81
2020-01-02;TASAJERO 2;TERG;CARBON;30347,81
2020-01-02;TEBSAB;TBSG;GAS NI;0,00
2020-01-02;TEBSAB;TBSG;GAS;106285,58
2020-01-02;TERMOCANDELARIA 1;TCIG;GAS;12340,00
2020-01-02;TERMOCANDELARIA 1;TCIG;GAS NI;0,00
2020-01-02;TERMOCANDELARIA 1;TCIG;ACPM;0,00
2020-01-02;TERMOCANDELARIA 2;TCIG;GAS NI;0,00
