ABAP	2018#22.8,2017#28.9,2016#15.9,2015#24.6,2014#20.8	Enterprise
Actionscript	2018#0.6,2017#0.0,2016#3.3,2015#6.8,2014#22.0	Web,Mobile
Ada	2018#20.9,2017#29.9,2016#20.5,2015#32.8,2014#30.1	Enterprise,Embedded
Arduino	2018#69.0,2017#74.4,2016#69.5,2015#63.0,2014#62.9	Embedded
Assembly	2018#74.1,2017#73.4,2016#68.0,2015#67.9,2014#66.9	Embedded
C	2018#96.7,2017#99.7,2016#100.0,2015#99.9,2014#99.2	Mobile,Enterprise,Embedded
C#	2018#89.4,2017#88.8,2016#86.4,2015#91.8,2014#92.2	Web,Mobile,Enterprise
C++	2018#99.7,2017#97.4,2016#95.8,2015#99.6,2014#95.5	Mobile, Enterprise, Embedded
Clojure	2018#25.6,2017#28.8,2016#22.0,2015#30.9,2014#36.0	Web,Enterprise
Cobol	2018#24.6,2017#29.2,2016#17.9,2015#19.0,2014#30.6	Enterprise
Cuda	2018#43.0,2017#56.5,2016#52.3,2015#48.6,2014#	Enterprise
D	2018#40.6,2017#41.5,2016#37.7,2015#44.6,2014#49.9	Web,Embedded
Delphi	2018#38.7,2017#,2016#41.7,2015#39.4,2014#40.2	Mobile,Enterprise
Erlang	2018#26.9,2017#31.5,2016#27.0,2015#30.6,2014#32.1	Enterprise,Embedded
Forth	2018#0.0,2017#5.7,2016#0.0,2015#8.5,2014#2.3	Embedded
Fortran	2018#49.5,2017#43.2,2016#40.9,2015#39.7,2014#45.5	Enterprise
Go	2018#76.4,2017#77.2,2016#71.5,2015#67.9,2014#59.8	Web,Enterprise
Haskell	2018#48.6,2017#50.8,2016#43.0,2015#39.2,2014#44.8	Enterprise,Embedded
HTML	2018#71.2,2017#68.0,2016#66.7,2015#54.3,2014#64.1	Web
J	2018#18.1,2017#14.2,2016#10.4,2015#7.7,2014#13.6	Enterprise
Java	2018#97.5,2017#99.4,2016#98.1,2015#100,2014#100	Web,Mobile,Enterprise
JavaScript	2018#82.6,2017#86.2,2016#81.9,2015#83.0,2014#84.9	Web,Mobile
Julia	2018#35.1,2017#40.6,2016#31.4,2015#17.4,2014#	Enterprise
LabView	2018#32.7,2017#36.4,2016#32.6,2015#30.9	Enterprise,Embedded
Ladder Logic	2018#11.5,2017#6.0,2016#26.2,2015#21.8,2014#20.2	Embedded
Lisp	2018#33.3,2017#33.9,2016#33.6,2015#40.4,2014#43.7	Enterprise
Lua	2018#49.8,2017#54.9,2016#50.9,2015#45.9,2014#47.8	Web,Enterprise
Matlab	2018#72.8,2017#70.4,2016#68.7,2015#72.4,2014#73.1	Enterprise
Objective-C	2018#50.5,2017#48.4,2016#52.4,2015#58.7,2014#63.7	Mobile,Enterprise
Ocaml	2018#14.4,2017#13.7,2016#3.2,2015#0.0,2014#18.5	Web,Enterprise
Perl	2018#57.4,2017#59.1,2016#57.5,2015#66.9,2014#69.6	Web,Enterprise
PHP	2018#84.9,2017#82.3,2016#82.4,2015#84.5,2014#84.6	Web
Processing	2018#53.1,2017#52.7,2016#50.3,2015#49.2,2014#52.0	Web,Enterprise
Prolog	2018#33.2,2017#36.5,2016#25.0,2015#23.2,2014#38.6	Enterprise
Python	2018#100.0,2017#100,2016#97.9,2015#95.8,2014#93.4	Web,Enterprise,Embedded
R	2018#82.9,2017#88.8,2016#87.7,2015#84.7,2014#74.1	Enterprise
Ruby	2018#71.4,2017#73.9,2016#74.0,2015#75.3,2014#79.3	Web,Enterprise
Rust	2018#41.8,2017#55.0,2016#42.2,2015#29.6,2014#	Web,Enterprise
SAS	2018#25.6,2017#30.7,2016#21.7,2015#43.7,2014#37.1	Enterprise
Scala	2018#72.1,2017#70.0,2016#66.3,2015#62.4,2014#62.7	Web,Mobile
Scheme	2018#18.8,2017#24.5,2016#14.5,2015#14.8,2014#27.8	Mobile,Enterprise
Shell	2018#66.1,2017#68.6,2016#52.7,2015#71.4,2014#63.3	Enterprise
SQL	2018#49.3,2017#52.8,2016#48.8,2015#70.9,2014#71.6	Enterprise
Swift	2018#53.9,2017#76.5,2016#67.6,2015#62.4	Mobile,Enterprise
TCL	2018#21.9,2017#16.2,2016#8.7,2015#11.6,2014#23.1	Enterprise,Embedded
Verilog	2018#41.2,2017#35.6,2016#25.1,2015#23.7,2014#33.8	Embedded
VHDL	2018#45.4,2017#39.9,2016#33.3,2015#35.4,2014#42.6	Embedded
Visual Basic	2018#45.1,2017#58.9,2016#55.7,2015#63.4,2014#66.0	Enterprise
ASP.NET	2014#35.9	Web
CoffeeScript	2014#25.5	Web
Apex Code	2014#18.0	Enterprise
Eiffel	2014#6.4	Enterprise
Scilab	2014#1.0	Enterprise
NetLogo	2014#0.0	Enterprise
