date,yt
1921,269
1922,1321
1923,585
1924,871
1925,1475
1926,2821
1927,3928
1928,5943
1929,4950
1930,2577
1931,523
1932,98
1933,184
1934,279
1935,409
1936,2285
1937,2685
1938,3409
1939,1824
1940,409
1941,151
1942,45
1943,68
1944,213
1945,546
1946,1033
1947,2129
1948,2536
1949,957
1950,361
1951,377
1952,225
1953,360
1954,731
1955,1638
1956,2725
1957,2871
1958,2119
1959,684
1960,299
1961,236
1962,245
1963,552
1964,1623
1965,3311
1966,6721
1967,4245
1968,687
1969,255
1970,473
1971,353
1972,784
1973,1594
1974,1676
1975,2251
1976,1426
1977,756
1978,299
1979,201
1980,229
1981,469
1982,736
1983,2042
1984,2811
1985,4431
1986,2511
1987,389
1988,73
1989,39
1990,49
1991,59
1992,188
1993,377
1994,1292
1995,4031
1996,3495
1997,587
1998,105
1999,153
2000,387
2001,758
2002,1307
2003,3465
2004,6991
2005,6313
2006,3794
2007,1836
2008,345
2009,382
2010,808
2011,1388
2012,2713
2013,3800
2014,3091
2015,2985
2016,3790
2017,674
2018,81
2019,80
2020,108
2021,229
2022,399
2023,1132
2024,2432
2025,3574
2026,2935
2027,1537
2028,529
2029,485
2030,662
2031,1000
2032,1590
2033,2657
2034,3396
