sexo;tipo_de_emprendimiento;idea_negocio;barrio;estrato;comuna_ciudadano;fecha_de_beneficio;monto_del_credito;línea_credito
femenino;comercio;almacen de ropa en ;los cerros el vergel;2;9;6/02/2017;7370000;microempresarial
femenino;industria;deposito de ;llanaditas;1;8;6/02/2017;7377000;microempresarial
femenino;servicio;fabrica de ;loreto;3;9;7/02/2017;5500000;microempresarial
femenino;servicio;peluqueria;santo domingo savio ;2;1;7/02/2017;7300000;microempresarial
femenino;servicio;peluqueria;moravia;2;4;7/02/2017;7300000;microempresarial
femenino;servicio;comidas rapidas;granizal;2;1;7/02/2017;7000000;microempresarial
femenino;servicio;cafe e internet;manrique central no. 2;1;3;7/06/2016;6000000;microempresarial
masculino;comercio;fabrica de helados;belencito;3;13;13/06/2016;6000000;microempresarial
femenino;comercio;tienda;santa lucia;3;12;5/04/2017;3000000;microempresarial
masculino;industria;fabrica de ;lopez de mesa;3;7;5/04/2017;6000000;microempresarial
masculino;industria;fabrica de muebles;robledo;2;7;7/04/2017;5000000;microempresarial
masculino;servicio;papeleria;belen;3;16;7/04/2017;7300000;microempresarial
femenino;comercio;tienda;pedregal;1;6;7/04/2017;4000000;microempresarial
masculino;comercio;papeleria;san javier no.1;2;13;2/05/2016;5000000;microempresarial
femenino;industria;ebanistaria;castilla;3;5;5/05/2016;4000000;microempresarial
masculino;comercio;recreativo-educativo;manrique central no. 2;2;3;11/05/2016;6800000;microempresarial
femenino;comercio;drogueria;palermo;2;4;16/05/2016;15000000;empresarial ed. 
femenino;agropecuaria;taller de electronica;santa elena central;2;90;16/05/2016;6890000;agropecuaria
femenino;servicio;cafe e internet;robledo;1;7;22/02/2017;7370000;microempresarial
femenino;servicio;comidas rapidas;el compromiso;1;1;23/02/2017;5000000;microempresarial
femenino;comercio;variedades;boston;2;10;2/03/2017;7000000;microempresarial
masculino;servicio;fabrica de ;manrique central no. 2;2;3;22/06/2016;6890000;microempresarial
femenino;servicio;miscelanea;campo valdes no. 1;3;4;6/07/2016;6000000;microempresarial
masculino;industria;comidas rapidas;belencito;2;13;12/07/2016;5000000;microempresarial
femenino;comercio;cafeteria;santo domingo savio ;2;1;13/07/2016;4000000;microempresarial
masculino;comercio;venta de calzado;belen;3;16;14/07/2016;6890000;microempresarial
femenino;comercio;papeleria;san german;2;7;14/07/2016;6300000;microempresarial
masculino;comercio;panaderia;palmitas;2;50;21/07/2016;2000000;microempresarial
masculino;servicio;miscelanea;la milagrosa;1;9;22/07/2016;6890000;microempresarial
femenino;comercio;tienda;santo domingo savio ;1;1;17/04/2017;2000000;microempresarial
femenino;comercio;tienda;robledo;1;7;17/04/2017;7377000;microempresarial
masculino;comercio;variedades;castilla;2;5;17/04/2017;7377000;microempresarial
masculino;comercio;variedades;doce de octubre no.1;2;6;17/04/2017;1000000;microempresarial
femenino;comercio;variedades;robledo;3;7;18/04/2017;7370000;microempresarial
femenino;comercio;comidas rapidas;manrique central no. 2;2;3;18/04/2017;4000000;microempresarial
masculino;comercio;variedades;la francia;2;2;19/04/2017;7370000;microempresarial
femenino;servicio;peluqueria;manrique central no. 2;2;3;20/05/2016;5500000;microempresarial
femenino;comercio;miscelanea;altavista;1;70;24/05/2016;6890000;microempresarial
femenino;comercio;fabrica de ;santo domingo savio ;1;1;27/05/2016;6890000;microempresarial
masculino;agropecuaria;floristeria;cabecera san cristobal;2;60;7/03/2017;7377000;microempresarial
femenino;servicio;papeleria;manrique central no. 1;2;4;8/03/2017;4000000;microempresarial
masculino;comercio;comidas rapidas;santa cruz;2;2;9/03/2017;7377000;microempresarial
femenino;servicio;papeleria;la loma;2;60;25/07/2016;5500000;microempresarial
masculino;industria;fabrica de ;doce de octubre no.1;2;6;8/08/2016;6800000;microempresarial
femenino;comercio;almacen de ropa en ;la libertad;2;8;19/08/2016;6800000;microempresarial
femenino;comercio;panaderia;el salvador;3;9;19/04/2017;4000000;microempresarial
femenino;comercio;legumbreria;popular;2;1;19/04/2017;7377000;microempresarial
masculino;comercio;restaurante;boston;3;10;20/04/2017;3000000;microempresarial
femenino;comercio;variedades;picacho;1;6;21/04/2017;7000000;microempresarial
femenino;industria;fabrica de productos ;moravia;2;4;21/04/2017;7000000;microempresarial
femenino;comercio;cafe e internet;robledo;2;7;21/04/2017;6000000;microempresarial
femenino;industria;fabrica de ;enciso;2;8;24/04/2017;3500000;microempresarial
femenino;industria;fabrica de calzado;belen;3;16;14/06/2016;20000000;juridica y cap.semilla
femenino;comercio;tienda;palmitas;1;50;14/06/2016;5000000;microempresarial
femenino;comercio;tienda;robledo;1;7;24/06/2016;4000000;microempresarial
masculino;servicio;drogueria;robledo;1;7;9/03/2017;7300000;microempresarial
femenino;comercio;restaurante;doce de octubre no.1;2;6;10/03/2017;3500000;microempresarial
femenino;industria;fabrica de colchones;bombona no. 1;3;10;10/03/2017;7370000;microempresarial
femenino;industria;fabrica de ;barrio caicedo;2;9;15/03/2017;7000000;microempresarial
femenino;comercio;variedades;cabecera san antonio ;3;80;16/03/2017;7000000;microempresarial
femenino;servicio;peluqueria;popular;2;1;7/09/2016;5000000;microempresarial
femenino;comercio;bares;aranjuez;2;4;16/09/2016;2500000;microempresarial
femenino;industria;fabrica de ;el diamante;2;7;16/09/2016;6890000;microempresarial
masculino;servicio;taller de mecanica;buenos aires;3;9;19/09/2016;3500000;microempresarial
femenino;industria;fabrica de ;barrio caicedo;2;9;21/09/2016;5000000;microempresarial
femenino;industria;fabrica de ;moravia;2;4;26/09/2016;6000000;microempresarial
masculino;servicio;floristeria;bombona no. 1;3;10;25/04/2017;7300000;microempresarial
femenino;comercio;bares;pedregal;3;6;25/04/2017;6894000;microempresarial
femenino;comercio;montallantas;popular;1;1;26/04/2017;7377000;microempresarial
femenino;servicio;peluqueria;santo domingo savio ;2;1;29/06/2016;5000000;microempresarial
masculino;servicio;restaurante;santa cruz;2;2;5/07/2016;6890000;microempresarial
femenino;comercio;ferreteria;buenos aires;2;9;7/07/2016;6800000;microempresarial
femenino;industria;fabrica de ;castilla;1;5;11/07/2016;3500000;microempresarial
femenino;comercio;tienda;la milagrosa;3;9;14/07/2016;6890000;microempresarial
masculino;servicio;tienda;manrique central no. 1;3;4;16/03/2017;6000000;microempresarial
femenino;comercio;variedades;prado;3;10;21/03/2017;7000000;microempresarial
femenino;comercio;comidas rapidas;castilla;3;5;21/03/2017;7376000;microempresarial
femenino;comercio;restaurante;andalucia;2;2;21/03/2017;7300000;microempresarial
femenino;industria;fabrica de ;san javier no.2;2;13;23/03/2017;7370000;microempresarial
femenino;industria;fabrica de ;belen;3;16;23/03/2017;4000000;microempresarial
femenino;servicio;comidas rapidas;cabecera san cristobal;2;60;28/09/2016;6000000;microempresarial
femenino;servicio;tienda;pedregal;2;6;28/09/2016;5000000;microempresarial
femenino;servicio;restaurante;llanaditas;1;8;3/10/2016;4000000;microempresarial
masculino;comercio;fabrica de ;la milagrosa;3;9;6/10/2016;6500000;microempresarial
femenino;comercio;comidas rapidas;girardot;3;5;6/10/2016;4000000;microempresarial
masculino;agropecuaria;jardineria;cabecera san antonio ;2;80;24/04/2017;4500000;microempresarial
femenino;comercio;restaurante;robledo;3;7;24/04/2017;6000000;microempresarial
masculino;comercio;comidas rapidas;robledo;3;7;27/04/2017;7000000;microempresarial
masculino;comercio;fabrica de ;robledo;3;7;2/05/2017;7300000;microempresarial
masculino;comercio;variedades;robledo;3;7;2/05/2017;7000000;microempresarial
femenino;servicio;peluqueria;campo valdes no. 1;3;4;18/07/2016;6000000;microempresarial
femenino;comercio;ferreteria;juan xxiii la quiebra;2;13;18/07/2016;6890000;microempresarial
femenino;industria;fabrica de ;robledo;1;7;19/07/2016;6890000;microempresarial
masculino;servicio;variedades;20 de julio;1;13;26/07/2016;6000000;microempresarial
masculino;servicio;fabrica de ;barrio caicedo;2;9;27/07/2016;2000000;microempresarial
masculino;industria;fabrica de ;manrique oriental;1;3;27/03/2017;7000000;microempresarial
femenino;industria;fabrica de ;villa hermosa;3;8;27/03/2017;3500000;microempresarial
femenino;servicio;peluqueria;aranjuez;3;4;27/03/2017;3500000;microempresarial
masculino;comercio;almacen de ropa en ;13 de noviembre;2;8;27/03/2017;7000000;microempresarial
femenino;industria;fabrica de ;manrique oriental;2;3;29/03/2017;3500000;microempresarial
femenino;industria;fabrica de ;belencito;2;13;30/03/2017;7000000;microempresarial
femenino;servicio;comidas rapidas;doce de octubre no.1;2;6;20/10/2016;6500000;microempresarial
masculino;comercio;charcuteria;robledo;1;7;20/10/2016;6890000;microempresarial
femenino;industria;miscelanea;robledo;2;7;20/10/2016;6890000;microempresarial
femenino;comercio;tienda;manrique central no. 2;3;3;4/08/2016;6890000;microempresarial
masculino;industria;fabrica de ;cabecera san antonio ;3;80;11/08/2016;6890000;microempresarial
femenino;servicio;publicidad y ;manrique central no. 2;2;3;10/11/2016;6890000;microempresarial
masculino;industria;fabrica de calzado;20 de julio;2;13;10/11/2016;6500000;microempresarial
femenino;comercio;comidas rapidas;guayabal;3;15;30/08/2016;6890000;microempresarial
femenino;comercio;variedades;robledo;2;7;23/11/2016;5000000;microempresarial
femenino;industria;fabrica de ;santo domingo savio ;1;1;23/11/2016;1800000;microempresarial
masculino;comercio;variedades;popular;1;1;23/11/2016;3000000;microempresarial
femenino;comercio;variedades;santo domingo savio ;1;1;23/11/2016;1200000;microempresarial
femenino;industria;fabrica de ;playon de los ;2;2;7/12/2016;6890000;microempresarial
masculino;servicio;recreativo-educativo;san javier no.1;1;13;7/12/2016;62000000;microempresarial
femenino;comercio;tienda;santa cruz;2;2;16/09/2016;3500000;microempresarial
femenino;comercio;cafeteria;manrique oriental;2;3;19/12/2016;5000000;microempresarial
femenino;industria;fabrica de alimentos;santa cruz;2;2;22/12/2016;5000000;microempresarial
femenino;servicio;variedades;francisco antonio zea;2;5;21/09/2016;68400000;microempresarial
femenino;comercio;fabrica de calzado;robledo;1;7;22/09/2016;2000000;microempresarial
masculino;comercio;billares;cabecera san cristobal;2;60;22/09/2016;6890000;microempresarial
masculino;servicio;barberia;barrio caicedo;2;9;27/09/2016;6890000;microempresarial
femenino;comercio;comidas rapidas;buenos aires;1;9;30/12/2016;5000000;microempresarial
femenino;comercio;comidas rapidas;robledo;1;7;30/01/2017;5000000;microempresarial
femenino;servicio;peluqueria;santa cruz;1;2;3/02/2017;7377000;microempresarial
femenino;agropecuaria;almacen de ropa en ;buenos aires;3;9;6/02/2017;4400000;credioportuno
femenino;comercio;tienda;doce de octubre no.1;2;6;29/09/2016;5000000;microempresarial
masculino;servicio;variedades;robledo;2;7;29/09/2016;5000000;microempresarial
masculino;servicio;publicidad y ;pedregal;2;6;29/09/2016;6000000;microempresarial
masculino;comercio;almacen de ropa en ;enciso;2;8;29/09/2016;6890000;microempresarial
femenino;comercio;variedades;la avanzada;1;1;6/10/2016;6890000;microempresarial
masculino;industria;fabrica de repuestos ;campo valdes no. 1;3;4;7/10/2016;2000000;microempresarial
femenino;industria;fabrica de alimentos;boston;3;10;13/10/2016;15000000;juridica y cap.semilla
femenino;comercio;fabrica de helados;villa niza;2;2;14/10/2016;5000000;microempresarial
femenino;comercio;tienda;robledo;2;7;13/02/2017;5000000;microempresarial
femenino;comercio;comidas rapidas;santo domingo savio ;1;1;17/02/2017;7377000;microempresarial
masculino;comercio;ferreteria;prado;3;10;17/02/2017;7377000;microempresarial
femenino;comercio;papeleria;robledo;2;7;22/02/2017;4000000;microempresarial
masculino;servicio;comidas rapidas;manrique central no. 1;2;4;27/02/2017;4000000;microempresarial
femenino;comercio;miscelanea;olaya herrera;1;7;20/10/2016;4000000;microempresarial
femenino;servicio;recreativo-educativo;granizal;1;1;28/10/2016;6000000;microempresarial
femenino;industria;marqueteria;aranjuez;3;4;28/02/2017;1700000;microempresarial
femenino;comercio;comidas rapidas;picachito;1;6;2/03/2017;2000000;microempresarial
femenino;comercio;productos de belleza;robledo;3;7;2/03/2017;4000000;microempresarial
femenino;servicio;comidas rapidas;doce de octubre no.1;2;6;6/03/2017;7000000;microempresarial
femenino;comercio;restaurante;buenos aires;2;9;8/03/2017;3000000;microempresarial
femenino;comercio;variedades;tejelo;3;5;8/03/2017;7000000;microempresarial
