date,yt
"1963-01",562.674
"1963-02",599.000
"1963-03",668.516
"1963-04",597.798
"1963-05",579.889
"1963-06",668.233
"1963-07",499.232
"1963-08",215.187
"1963-09",555.813
"1963-10",586.935
"1963-11",546.136
"1963-12",571.111
"1964-01",634.712
"1964-02",639.283
"1964-03",712.182
"1964-04",621.557
"1964-05",621.000
"1964-06",675.989
"1964-07",501.322
"1964-08",220.286
"1964-09",560.727
"1964-10",602.530
"1964-11",626.379
"1964-12",605.508
"1965-01",646.783
"1965-02",658.442
"1965-03",712.906
"1965-04",687.714
"1965-05",723.916
"1965-06",707.183
"1965-07",629.000
"1965-08",237.530
"1965-09",613.296
"1965-10",730.444
"1965-11",734.925
"1965-12",651.812
"1966-01",676.155
"1966-02",748.183
"1966-03",810.681
"1966-04",729.363
"1966-05",701.108
"1966-06",790.079
"1966-07",594.621
"1966-08",230.716
"1966-09",617.189
"1966-10",691.389
"1966-11",701.067
"1966-12",705.777
"1967-01",747.636
"1967-02",773.392
"1967-03",813.788
"1967-04",766.713
"1967-05",728.875
"1967-06",749.197
"1967-07",680.954
"1967-08",241.424
"1967-09",680.234
"1967-10",708.326
"1967-11",694.238
"1967-12",772.071
"1968-01",795.337
"1968-02",788.421
"1968-03",889.968
"1968-04",797.393
"1968-05",751.000
"1968-06",821.255
"1968-07",691.605
"1968-08",290.655
"1968-09",727.147
"1968-10",868.355
"1968-11",812.390
"1968-12",799.556
"1969-01",843.038
"1969-02",847.000
"1969-03",941.952
"1969-04",804.309
"1969-05",840.307
"1969-06",871.528
"1969-07",656.330
"1969-08",370.508
"1969-09",742.000
"1969-10",847.152
"1969-11",731.675
"1969-12",898.527
"1970-01",778.139
"1970-02",856.075
"1970-03",938.833
"1970-04",813.023
"1970-05",783.417
"1970-06",828.110
"1970-07",657.311
"1970-08",310.032
"1970-09",780.000
"1970-10",860.000
"1970-11",780.000
"1970-12",807.993
"1971-01",895.217
"1971-02",856.075
"1971-03",893.268
"1971-04",875.000
"1971-05",835.088
"1971-06",934.595
"1971-07",832.500
"1971-08",300.000
"1971-09",791.443
"1971-10",900.000
"1971-11",781.729
"1971-12",880.000
"1972-01",875.024
"1972-02",992.968
"1972-03",976.804
"1972-04",968.697
"1972-05",871.675
"1972-06",1006.852
"1972-07",832.037
"1972-08",345.587
"1972-09",849.528
"1972-10",913.871
"1972-11",868.746
