record_id,in_date,day_name,out_date
XWqByTrQ2GLSlMwO6UY6ZQ,2016-01-01,Friday,2016-01-10
8WqTh56a34JnIBQNoT8YyA,2016-01-01,Friday,2016-01-11
9lO2NUKAy4kZAYMbU-Qjrw,2016-01-01,Friday,2016-01-25
2E4vk8wVmDMf0dIGOrDewg,2016-01-02,Saturday,2016-01-09
56yglesLFs_C9tMK_EFj-w,2016-01-02,Saturday,2016-01-12
NHSIQZup9eDM9F6bBbVZ4g,2016-01-02,Saturday,2016-01-16
i84rLg6LcRZ0L8T7Ti5ghA,2016-01-02,Saturday,2016-01-12
6NweV2r_xAJ119UWr1ynlQ,2016-01-03,Sunday,2016-01-11
1Z0eISvlVSzl_xl2AXpJ-g,2016-01-03,Sunday,2016-01-10
qs1rBjVJcyf9YyPskjjbqw,2016-01-03,Sunday,2016-01-11
2B39Qtqb0Oy_59fISKcIzQ,2016-01-03,Sunday,2016-01-12
J_5aXtt885l39vLkptzMfg,2016-01-04,Monday,2016-01-13
auHF8r7VY6d4ER3xNjPxxg,2016-01-04,Monday,2016-01-12
Fhfs_AnJIon-h8lzlM5WhA,2016-01-04,Monday,2016-01-12
HutQdZsUA1YKBBoNprdHwQ,2016-01-04,Monday,2016-01-12
Iki0cWgsmv6XfHl4lo7YpA,2016-01-04,Monday,2016-01-11
vsxqFNvntajqcTx3gusrtA,2016-01-04,Monday,2016-01-12
6V45KjmDmue21VXgMcqUrg,2016-01-04,Monday,NULL
5FgWUsOCcbWnEcRtwaf6Vw,2016-01-04,Monday,2016-01-11
B59EKfWwHDM_WCThRS8KBQ,2016-01-04,Monday,2016-01-11
n-pUaG7B7obqLUogsb_5pQ,2016-01-04,Monday,2016-01-14
1Q53RYxIhcj9H_Zy_Sifig,2016-01-04,Monday,2016-01-12
mP_zRb9gTNBewvYrfoWt3g,2016-01-04,Monday,2016-01-16
i_2lB34X5DGQ25ZV6QVxHw,2016-01-04,Monday,NULL
NK57wrnKlhZW2pb5lJ7glQ,2016-01-04,Monday,2016-01-19
1JgTkO2nb834fxhm0Gs21w,2016-01-04,Monday,2016-01-11
Nc-B_RISB3xwEtci8rZjlw,2016-01-04,Monday,2016-01-13
ynu9wUEy7tpUSLxZclUYuQ,2016-01-04,Monday,2016-01-16
5fThE43iTFGo9LKxcAkxZw,2016-01-04,Monday,2016-01-11
fQg2izABfCzySxfkGVJlfw,2016-01-04,Monday,2016-01-18
v6Lx4tGVhf6LkW_pcoQ2hQ,2016-01-04,Monday,2016-01-12
7AL4wysZXidolSVBI0NNoQ,2016-01-04,Monday,2016-01-14
PHxrxDrdTvRXSbkTQj-i8A,2016-01-04,Monday,2016-01-12
jOfhVhS1n0M0tLZF2zId4w,2016-01-04,Monday,2016-01-13
nDp27AIbckq5fSmpWqystg,2016-01-04,Monday,2016-01-11
7aLznfGCxMLEdoTP8iGKtA,2016-01-04,Monday,2016-01-14
bPL0hfaWyHL2iGFDdWW7Ew,2016-01-04,Monday,2016-01-11
96HovwUmFAb5TAReUFBV4w,2016-01-04,Monday,2016-01-14
g0nAsqPOweR0bIt14AbYgQ,2016-01-04,Monday,2016-01-22
d3K9u-ItB7K01xmLYbDfXQ,2016-01-04,Monday,2016-01-13
TTcH07B3fad6aAU4Q5sQTw,2016-01-04,Monday,2016-01-14
YS5CTFwCGLPSLwJBKKKXuw,2016-01-05,Tuesday,2016-01-12
zB-KPogveiUWwcn8HgX5qQ,2016-01-05,Tuesday,2016-01-12
Ic4FFq09jqRzvqHiAG_niw,2016-01-05,Tuesday,2016-01-14
LBT5vCQkKNDli7D8vglHgw,2016-01-05,Tuesday,2016-01-14
N9J9RP49OgziInZfPBX8zg,2016-01-05,Tuesday,2016-01-25
SkNpXQO4zP_03CPiIJwcrA,2016-01-05,Tuesday,2016-01-13
WK-etUb14v8W5HusYGDlzQ,2016-01-05,Tuesday,2016-01-14
pc775ctbNd_mEA9ISKJtyg,2016-01-05,Tuesday,2016-01-14
WAs-NdalnuLvVF_XRpeYag,2016-01-05,Tuesday,2016-01-13
PIkIPP0N_9urIznzp-g6-Q,2016-01-05,Tuesday,2016-01-12
hVBQ_iKeUwTA41N1FDU3Cw,2016-01-05,Tuesday,2016-01-13
MT0gZn13n3hWPrqgc00V-w,2016-01-05,Tuesday,2016-01-15
EQYFzircAu7-tXGr1JPHOQ,2016-01-05,Tuesday,2016-01-12
_LRAPqAmGADGrpUc773wNQ,2016-01-05,Tuesday,2016-01-12
dFTFYSOb_sFUVfgmZZNGTQ,2016-01-05,Tuesday,2016-01-14
A4p1w1TFKqd6culUDJuYLw,2016-01-05,Tuesday,2016-01-12
VSIeh5wYZBNrOl0hRjwDjA,2016-01-05,Tuesday,2016-01-12
f_EFEuH4UI6nV88j6gQlVg,2016-01-05,Tuesday,2016-01-12
661Lx4D233IYZzggJXsIFA,2016-01-05,Tuesday,2016-01-14
7dYWGHQ5kv5wYzReHc93mQ,2016-01-05,Tuesday,2016-01-14
gZWimBDT4CKRHVOwUCyIxQ,2016-01-05,Tuesday,2016-01-14
CMk7Pady51JCrb9w2Qiy7w,2016-01-05,Tuesday,2016-01-15
itMsPn1h4zWF54yl2GjK0w,2016-01-05,Tuesday,2016-01-13
QNqC4aqkB5iFTyWeo7iSJg,2016-01-06,Wednesday,2016-01-15
n_x_77tX5VLoOGmedENkNA,2016-01-06,Wednesday,2016-01-16
3_fMDnec3h5wuZtJITkKnA,2016-01-06,Wednesday,2016-01-14
8AUjFMSPjo-I1jIdLB4feQ,2016-01-06,Wednesday,2016-01-15
XV0OGlJ_izG25R-O5etNsA,2016-01-06,Wednesday,2016-01-13
fQD-nRiFE6ihBo6SC1HFrg,2016-01-06,Wednesday,NULL
INdD_mbu50F5_y7auaCxUA,2016-01-06,Wednesday,2016-01-21
5vWlK-Ov-9fbloJ22Tq4ZA,2016-01-06,Wednesday,2016-01-14
b2cZnddt3zekdRKcn8-eKw,2016-01-06,Wednesday,NULL
3PbaC7Duz7rXOoSICg_zbw,2016-01-06,Wednesday,2016-01-13
acnfDDkCsvQU1pA27XG0KQ,2016-01-06,Wednesday,2016-01-16
qiIM2U3TXEyE44Vd4QXomw,2016-01-06,Wednesday,2016-01-21
ZdN1YLXQqDcjM6fVXDGOfA,2016-01-06,Wednesday,2016-01-15
cFrmeBHXvcx_52Tzbukdqw,2016-01-06,Wednesday,2016-01-15
BznUKSoyuO9P9Z6CFI4Vqg,2016-01-06,Wednesday,2016-01-31
acnfDDkCsvQU1pA27XG0KQ,2016-01-06,Wednesday,2016-01-16
357oLTjyjX02VYw9WYsOhw,2016-01-06,Wednesday,2016-01-15
TVFS-qrvIQpWgCyqthVk4Q,2016-01-06,Wednesday,2016-01-16
DD-jex3Yslm9mvsoMmlf2g,2016-01-06,Wednesday,2016-01-28
37oqq29tn9RHFf8PiNb_gw,2016-01-06,Wednesday,2016-01-15
O7MPgvXYwNmIK3P-ItIkRA,2016-01-06,Wednesday,2016-01-16
3PbaC7Duz7rXOoSICg_zbw,2016-01-06,Wednesday,2016-01-13
1rwfhmFEGFIVwzX0CHoSpg,2016-01-06,Wednesday,2016-01-16
a03LLLe5HJCZQe0bmmjBpQ,2016-01-06,Wednesday,2016-01-16
rwMOX98LgPmptM0QNuNMdQ,2016-01-06,Wednesday,2016-01-16
tub1bCPb5LvqikiZIlRv-Q,2016-01-06,Wednesday,2016-01-14
1R_1wb1zkPsuSbenmlEtAg,2016-01-06,Wednesday,2016-01-14
