fecha;carta;web;total
1/01/2016;3;1;4
2/01/2016;4;5;9
3/01/2016;4;3;7
4/01/2016;28;2;30
5/01/2016;23;6;29
6/01/2016;24;7;31
7/01/2016;22;6;28
8/01/2016;27;12;39
9/01/2016;4;2;6
10/01/2016;3;0;3
11/01/2016;4;1;5
12/01/2016;31;16;47
13/01/2016;38;9;47
14/01/2016;60;21;81
15/01/2016;36;14;50
16/01/2016;11;4;15
17/01/2016;4;4;8
18/01/2016;37;12;49
19/01/2016;29;20;49
20/01/2016;27;16;43
21/01/2016;35;13;48
22/01/2016;33;13;46
23/01/2016;4;4;8
24/01/2016;;4;4
25/01/2016;38;18;56
26/01/2016;47;13;60
27/01/2016;35;14;49
28/01/2016;38;10;48
29/01/2016;35;8;43
30/01/2016;11;1;12
31/01/2016;1;0;1
1/02/2016;29;6;35
2/02/2016;32;14;46
3/02/2016;27;21;48
4/02/2016;33;17;50
5/02/2016;21;7;28
6/02/2016;7;6;13
7/02/2016;3;3;6
8/02/2016;44;17;61
9/02/2016;47;19;66
10/02/2016;47;24;71
11/02/2016;40;19;59
12/02/2016;35;10;45
13/02/2016;3;4;7
14/02/2016;3;2;5
15/02/2016;44;18;62
16/02/2016;37;23;60
17/02/2016;48;17;65
18/02/2016;54;9;63
19/02/2016;30;11;41
20/02/2016;10;7;17
22/02/2016;35;0;35
23/02/2016;37;9;46
24/02/2016;40;12;52
25/02/2016;38;3;41
26/02/2016;17;0;17
27/02/2016;3;0;3
29/02/2016;26;1;27
1/03/2016;19;1;20
2/03/2016;21;0;21
3/03/2016;23;1;24
4/03/2016;38;20;58
5/03/2016;4;4;8
6/03/2016;4;3;7
7/03/2016;48;21;69
8/03/2016;38;20;58
9/03/2016;45;22;67
10/03/2016;58;21;79
11/03/2016;37;25;62
12/03/2016;4;2;6
13/03/2016;2;1;3
14/03/2016;64;32;96
15/03/2016;77;41;118
16/03/2016;57;32;89
17/03/2016;58;27;85
18/03/2016;49;16;65
19/03/2016;11;7;18
20/03/2016;2;3;5
21/03/2016;6;4;10
22/03/2016;58;15;73
23/03/2016;44;16;60
24/03/2016;1;2;3
25/03/2016;3;2;5
26/03/2016;3;4;7
27/03/2016;3;2;5
28/03/2016;70;18;88
29/03/2016;33;14;47
30/03/2016;48;10;58
31/03/2016;34;10;44
1/04/2016;33;11;44
2/04/2016;2;4;6
3/04/2016;4;1;5
4/04/2016;32;12;44
5/04/2016;46;14;60
6/04/2016;41;14;55
7/04/2016;41;19;60
8/04/2016;52;14;66
9/04/2016;7;8;15
10/04/2016;2;1;3
11/04/2016;38;17;55
12/04/2016;41;18;59
13/04/2016;32;17;49
14/04/2016;23;21;44
15/04/2016;40;11;51
16/04/2016;11;5;16
17/04/2016;4;2;6
18/04/2016;40;23;63
19/04/2016;53;15;68
20/04/2016;42;23;65
21/04/2016;62;36;98
22/04/2016;81;38;119
23/04/2016;26;18;44
24/04/2016;5;3;8
25/04/2016;48;13;61
26/04/2016;33;15;48
27/04/2016;64;21;85
28/04/2016;36;13;49
29/04/2016;22;16;38
30/04/2016;5;4;9
1/05/2016;1;4;5
2/05/2016;36;17;53
3/05/2016;35;18;53
4/05/2016;39;26;65
5/05/2016;49;17;66
6/05/2016;42;6;48
7/05/2016;11;5;16
8/05/2016;4;3;7
9/05/2016;8;0;8
10/05/2016;51;23;74
11/05/2016;76;21;97
12/05/2016;66;15;81
13/05/2016;63;16;79
14/05/2016;19;7;26
15/05/2016;9;9;18
16/05/2016;89;29;118
17/05/2016;69;28;97
18/05/2016;96;46;142
19/05/2016;91;31;122
20/05/2016;82;27;109
21/05/2016;12;9;21
22/05/2016;7;7;14
23/05/2016;68;38;106
24/05/2016;68;31;99
25/05/2016;61;16;77
26/05/2016;65;23;88
27/05/2016;26;18;44
28/05/2016;5;3;8
29/05/2016;2;3;5
30/05/2016;4;6;10
31/05/2016;55;16;71
1/06/2016;67;13;80
2/06/2016;58;12;70
3/06/2016;42;13;55
4/06/2016;8;5;13
5/06/2016;4;2;6
6/06/2016;3;3;6
7/06/2016;36;21;57
8/06/2016;43;19;62
9/06/2016;42;25;67
10/06/2016;36;14;50
11/06/2016;12;6;18
12/06/2016;2;2;4
13/06/2016;45;22;67
14/06/2016;42;19;61
15/06/2016;36;19;55
16/06/2016;47;17;64
17/06/2016;35;17;52
18/06/2016;10;8;18
19/06/2016;3;3;6
20/06/2016;35;27;62
21/06/2016;54;21;75
22/06/2016;57;23;80
23/06/2016;46;23;69
24/06/2016;23;17;40
25/06/2016;6;7;13
26/06/2016;2;2;4
27/06/2016;45;19;64
28/06/2016;35;21;56
29/06/2016;29;17;46
30/06/2016;36;20;56
1/07/2016;27;10;37
2/07/2016;3;3;6
3/07/2016;1;3;4
4/07/2016;3;3;6
5/07/2016;31;17;48
6/07/2016;34;12;46
7/07/2016;27;17;44
8/07/2016;29;16;45
9/07/2016;4;9;13
10/07/2016;7;4;11
11/07/2016;28;13;41
12/07/2016;36;22;58
13/07/2016;34;17;51
14/07/2016;26;16;42
15/07/2016;25;18;43
16/07/2016;12;8;20
17/07/2016;6;9;15
18/07/2016;48;37;85
19/07/2016;39;23;62
20/07/2016;4;7;11
21/07/2016;34;28;62
22/07/2016;23;13;36
23/07/2016;9;14;23
24/07/2016;2;4;6
25/07/2016;30;29;59
26/07/2016;28;34;62
27/07/2016;22;29;51
28/07/2016;28;12;40
29/07/2016;31;21;52
30/07/2016;9;9;18
31/07/2016;1;3;4
1/08/2016;28;23;51
2/08/2016;26;30;56
3/08/2016;19;18;37
4/08/2016;18;17;35
5/08/2016;14;18;32
6/08/2016;5;9;14
7/08/2016;1;6;7
8/08/2016;20;29;49
9/08/2016;21;20;41
10/08/2016;26;21;47
11/08/2016;28;13;41
12/08/2016;19;23;42
13/08/2016;3;14;17
14/08/2016;2;5;7
15/08/2016;1;10;11
16/08/2016;24;40;64
17/08/2016;36;34;70
18/08/2016;19;27;46
19/08/2016;16;17;33
20/08/2016;2;12;14
21/08/2016;;14;14
22/08/2016;30;37;67
23/08/2016;23;29;52
24/08/2016;33;35;68
25/08/2016;27;25;52
26/08/2016;17;15;32
27/08/2016;6;7;13
28/08/2016;2;3;5
29/08/2016;38;27;65
30/08/2016;31;19;50
31/08/2016;56;18;74
1/09/2016;19;16;35
2/09/2016;19;16;35
3/09/2016;2;6;8
4/09/2016;1;5;6
5/09/2016;31;20;51
6/09/2016;27;23;50
7/09/2016;12;17;29
8/09/2016;43;23;66
9/09/2016;37;19;56
10/09/2016;6;3;9
11/09/2016;2;6;8
12/09/2016;22;27;49
13/09/2016;21;29;50
14/09/2016;33;31;64
15/09/2016;29;35;64
16/09/2016;19;20;39
17/09/2016;6;10;16
18/09/2016;4;6;10
19/09/2016;27;25;52
20/09/2016;30;17;47
21/09/2016;31;19;50
22/09/2016;41;19;60
23/09/2016;27;13;40
24/09/2016;8;10;18
25/09/2016;2;6;8
26/09/2016;44;32;76
27/09/2016;34;20;54
28/09/2016;30;18;48
29/09/2016;42;18;60
30/09/2016;25;10;35
1/10/2016;3;6;9
2/10/2016;3;4;7
3/10/2016;65;26;91
4/10/2016;39;19;58
5/10/2016;34;16;50
6/10/2016;33;13;46
7/10/2016;26;6;32
8/10/2016;10;8;18
9/10/2016;1;6;7
10/10/2016;27;18;45
11/10/2016;31;17;48
12/10/2016;19;24;43
13/10/2016;33;22;55
14/10/2016;25;21;46
15/10/2016;6;7;13
16/10/2016;1;3;4
17/10/2016;2;3;5
18/10/2016;24;26;50
19/10/2016;39;14;53
20/10/2016;45;32;77
21/10/2016;23;14;37
22/10/2016;5;3;8
23/10/2016;4;12;16
24/10/2016;26;27;53
25/10/2016;34;28;62
26/10/2016;43;24;67
27/10/2016;26;21;47
28/10/2016;30;18;48
29/10/2016;6;7;13
30/10/2016;2;7;9
31/10/2016;25;24;49
1/11/2016;28;20;48
2/11/2016;22;19;41
3/11/2016;31;22;53
4/11/2016;17;8;25
5/11/2016;11;6;17
6/11/2016;6;5;11
7/11/2016;1;5;6
8/11/2016;29;17;46
9/11/2016;27;20;47
10/11/2016;23;11;34
11/11/2016;21;6;27
15/11/2016;25;11;36
16/11/2016;31;27;58
17/11/2016;27;8;35
18/11/2016;30;16;46
19/11/2016;4;10;14
20/11/2016;3;2;5
21/11/2016;20;21;41
22/11/2016;41;20;61
23/11/2016;23;11;34
24/11/2016;39;17;56
25/11/2016;31;9;40
26/11/2016;3;6;9
27/11/2016;2;2;4
28/11/2016;32;13;45
29/11/2016;29;16;45
30/11/2016;15;7;22
1/12/2016;23;8;31
2/12/2016;23;14;37
3/12/2016;6;3;9
4/12/2016;2;9;11
5/12/2016;19;14;33
6/12/2016;20;11;31
7/12/2016;16;9;25
8/12/2016;2;3;5
9/12/2016;4;8;12
10/12/2016;1;4;5
11/12/2016;1;1;2
12/12/2016;37;15;52
13/12/2016;19;6;25
14/12/2016;34;16;50
15/12/2016;20;8;28
16/12/2016;19;8;27
17/12/2016;1;5;6
18/12/2016;;2;2
19/12/2016;27;10;37
20/12/2016;25;4;29
21/12/2016;23;9;32
22/12/2016;19;8;27
23/12/2016;16;4;20
24/12/2016;1;0;1
26/12/2016;18;12;30
27/12/2016;24;18;42
28/12/2016;20;9;29
29/12/2016;21;14;35
30/12/2016;15;13;28
31/12/2016;2;2;4
2/01/2017;17;4;21
3/01/2017;10;6;16
4/01/2017;18;11;29
5/01/2017;16;8;24
6/01/2017;23;12;35
7/01/2017;2;4;6
8/01/2017;2;0;2
9/01/2017;;1;1
10/01/2017;15;9;24
11/01/2017;16;14;30
12/01/2017;27;9;36
13/01/2017;22;15;37
14/01/2017;3;3;6
15/01/2017;1;3;4
16/01/2017;25;9;34
17/01/2017;25;9;34
18/01/2017;21;18;39
19/01/2017;26;15;41
20/01/2017;18;16;34
21/01/2017;6;6;12
22/01/2017;2;2;4
23/01/2017;26;17;43
24/01/2017;33;16;49
25/01/2017;26;12;38
26/01/2017;13;8;21
27/01/2017;15;11;26
28/01/2017;;3;3
29/01/2017;3;2;5
30/01/2017;14;5;19
31/01/2017;21;10;31
1/02/2017;26;11;37
2/02/2017;25;10;35
3/02/2017;25;7;32
4/02/2017;1;2;3
5/02/2017;3;1;4
6/02/2017;19;9;28
7/02/2017;23;11;34
8/02/2017;16;14;30
9/02/2017;30;17;47
10/02/2017;20;7;27
11/02/2017;2;5;7
12/02/2017;2;3;5
13/02/2017;17;13;30
14/02/2017;21;12;33
15/02/2017;23;19;42
16/02/2017;26;25;51
17/02/2017;20;13;33
18/02/2017;6;3;9
19/02/2017;1;3;4
20/02/2017;36;19;55
21/02/2017;23;22;45
22/02/2017;28;17;45
23/02/2017;19;20;39
24/02/2017;15;13;28
25/02/2017;2;4;6
26/02/2017;1;4;5
27/02/2017;6;27;33
28/02/2017;5;35;40
1/03/2017;4;23;27
2/03/2017;12;17;29
3/03/2017;10;31;41
4/03/2017;;6;6
5/03/2017;;1;1
6/03/2017;8;20;28
7/03/2017;15;40;55
8/03/2017;7;20;27
9/03/2017;9;32;41
10/03/2017;13;41;54
11/03/2017;;10;10
12/03/2017;;1;1
13/03/2017;10;39;49
14/03/2017;14;47;61
15/03/2017;10;46;56
16/03/2017;10;49;59
17/03/2017;11;54;65
18/03/2017;;6;6
19/03/2017;;4;4
20/03/2017;;5;5
21/03/2017;13;43;56
22/03/2017;4;61;65
23/03/2017;10;33;43
24/03/2017;14;27;41
25/03/2017;;16;16
26/03/2017;;6;6
27/03/2017;6;49;55
28/03/2017;18;36;54
29/03/2017;8;30;38
30/03/2017;9;26;35
31/03/2017;8;27;35
1/04/2017;;8;8
2/04/2017;;5;5
3/04/2017;8;24;32
4/04/2017;12;27;39
5/04/2017;3;23;26
6/04/2017;6;25;31
7/04/2017;13;22;35
8/04/2017;;6;6
10/04/2017;7;26;33
11/04/2017;3;26;29
12/04/2017;;18;18
13/04/2017;;2;2
14/04/2017;;3;3
15/04/2017;;5;5
16/04/2017;;2;2
17/04/2017;8;44;52
18/04/2017;2;34;36
19/04/2017;5;22;27
20/04/2017;8;25;33
21/04/2017;7;27;34
22/04/2017;;12;12
23/04/2017;;1;1
24/04/2017;15;31;46
25/04/2017;9;39;48
26/04/2017;3;23;26
27/04/2017;9;40;49
28/04/2017;6;23;29
29/04/2017;;11;11
30/04/2017;;6;6
1/05/2017;;9;9
2/05/2017;12;36;48
3/05/2017;12;33;45
4/05/2017;7;31;38
5/05/2017;6;29;35
6/05/2017;;11;11
7/05/2017;;6;6
8/05/2017;5;38;43
9/05/2017;5;34;39
10/05/2017;6;38;44
11/05/2017;15;45;60
12/05/2017;7;40;47
13/05/2017;;8;8
14/05/2017;;6;6
15/05/2017;16;47;63
16/05/2017;14;32;46
17/05/2017;14;47;61
18/05/2017;9;37;46
19/05/2017;6;35;41
20/05/2017;;12;12
21/05/2017;;9;9
22/05/2017;13;39;52
23/05/2017;12;40;52
24/05/2017;13;46;59
25/05/2017;4;44;48
26/05/2017;12;29;41
27/05/2017;;13;13
28/05/2017;;3;3
29/05/2017;;4;4
30/05/2017;8;42;50
31/05/2017;10;28;38
1/06/2017;4;37;41
2/06/2017;16;33;49
3/06/2017;;7;7
4/06/2017;;4;4
5/06/2017;13;31;44
6/06/2017;14;34;48
7/06/2017;4;27;31
8/06/2017;7;39;46
9/06/2017;6;19;25
10/06/2017;;6;6
11/06/2017;;3;3
12/06/2017;18;45;63
13/06/2017;653;45;698
14/06/2017;715;37;752
15/06/2017;14;33;47
16/06/2017;13;43;56
17/06/2017;;12;12
18/06/2017;;3;3
19/06/2017;;7;7
20/06/2017;10;48;58
21/06/2017;14;49;63
22/06/2017;7;38;45
23/06/2017;733;42;775
24/06/2017;;5;5
25/06/2017;;2;2
26/06/2017;;7;7
27/06/2017;8;36;44
28/06/2017;9;28;37
29/06/2017;5;26;31
30/06/2017;7;28;35
1/07/2017;;13;13
2/07/2017;;4;4
3/07/2017;;6;6
4/07/2017;9;36;45
5/07/2017;11;33;44
6/07/2017;4;39;43
7/07/2017;12;37;49
8/07/2017;;9;9
9/07/2017;;5;5
10/07/2017;16;43;59
11/07/2017;13;41;54
12/07/2017;6;47;53
13/07/2017;5;28;33
14/07/2017;3;27;30
15/07/2017;;16;16
