Fecha,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2012-08-01,115.37,115.37,115.37,115.37,115.37,125.87,137.37,142.37,164.87,164.87,164.87,164.87,164.87,164.87,164.87,164.87,164.87,164.87,164.87,164.87,164.87,164.87,137.37,123.37
2012-08-02,117.18,107.18,107.18,107.18,117.18,120.18,120.18,129.12,142.18,142.18,142.18,142.18,142.18,142.18,142.18,142.18,142.18,142.18,172.18,201.18,201.18,142.18,134.18,122.18
2012-08-03,116.75,116.75,111.75,111.75,116.75,120.75,120.75,120.75,120.75,121.75,127.75,136.75,136.75,121.75,126.75,126.75,122.75,121.75,136.75,251.75,122.75,121.75,120.75,120.75
2012-08-04,109.41,107.41,107.41,107.41,107.41,109.41,109.41,116.41,161.41,161.41,161.41,161.41,161.41,161.41,161.41,161.41,161.41,161.41,161.41,161.41,161.41,161.41,127.41,116.41
2012-08-05,119.42,119.42,104.42,94.42,94.42,94.42,104.42,104.42,119.42,119.42,124.92,124.92,124.92,124.92,124.92,124.92,124.92,124.92,124.92,154.42,154.42,124.92,124.92,119.42
2012-08-06,118.78,104.28,104.28,103.28,121.28,121.28,121.28,121.28,144.28,147.28,149.28,149.28,149.28,149.28,149.28,149.28,149.28,149.28,149.28,149.28,149.28,147.28,121.28,121.28
2012-08-07,94.77,94.77,93.77,93.77,93.77,93.77,93.77,95.77,129.77,129.77,130.07,130.07,130.07,130.07,130.07,130.07,130.07,130.07,130.07,142.77,142.77,130.07,130.07,118.64
2012-08-08,111.19,111.19,111.19,111.19,116.09,116.09,116.09,131.19,136.19,141.19,141.19,142.69,141.19,141.19,142.69,142.69,142.69,141.19,142.69,142.69,142.69,141.19,131.19,125.19
2012-08-09,112.3,112.3,112.3,112.3,112.3,113.3,134.3,138.3,140.3,142.8,143.8,143.8,143.8,143.8,143.8,143.8,143.8,143.8,143.8,163.3,143.8,143.8,138.3,127.3
2012-08-10,111.05,111.05,108.05,108.05,111.05,143.03,143.05,143.05,143.05,143.05,148.05,163.05,169.05,158.05,163.05,163.05,158.05,163.05,169.05,169.05,169.05,163.05,148.05,143.05
2012-08-11,138.6,107.6,107.6,107.6,119.1,119.1,138.6,139.6,158.6,162.6,162.6,165.6,162.6,162.6,162.6,158.6,158.6,158.6,165.6,165.6,165.6,162.6,154.6,139.6
2012-08-12,144.41,133.0,118.41,118.41,118.41,118.41,133.0,118.41,144.41,144.41,144.41,153.41,153.41,153.41,152.91,144.41,144.41,144.41,164.41,164.41,164.41,164.41,153.41,144.41
2012-08-13,143.12,142.12,143.12,137.1,143.12,152.12,163.12,163.12,163.12,181.65,182.12,212.12,182.12,181.65,182.12,182.12,181.65,163.12,212.12,212.12,212.12,181.65,163.12,163.12
2012-08-14,144.16,124.16,124.16,124.16,144.16,145.46,154.16,167.19,175.16,175.16,175.16,175.16,175.16,175.16,175.16,175.16,175.16,175.16,219.16,234.16,219.16,175.16,175.16,154.16
