Ano,Dias para iniciar un negocio,Emisiones de CO2,Esperanza de vida (mujeres),Esperanza de vida (varones),Facilidad para hacer negocios,Gasto en salud ( del PIB),Gasto en salud (per capita),Horas preparar los impuestos,Interes de prestamos,PIB,Pais,Poblacion 0-14,Poblacion 15-64,Poblacion 65+,Poblacion total,Poblacion urbana,Region,Tasa de mortalidad infantil,Tasa de natalidad,Tasa tributaria empresarial,Turismo emisor,Turismo receptivo,Uso de Internet,Uso de energia,Uso de telefonos celulares
2000-12-01,NA,87931,71,67,NA,3.50,60,NA,10.00,54790058957,Algeria,34.20,61.90,3.90,31719449,59.90,africa,3.40,2.00,NA,193000000,102000000,0,26998,0
2000-12-01,NA,9542,47,44,NA,3.40,22,NA,103.20,9129594819,Angola,47.60,49.90,2.50,13924930,32.40,africa,12.80,5.00,NA,146000000,34000000,0,7499,0
2000-12-01,NA,1617,57,53,NA,4.30,15,NA,NA,2359122303,Benin,45.40,51.70,2.90,6949366,38.30,africa,9.00,4.30,NA,50000000,77000000,0,1983,0
2000-12-01,NA,4276,52,49,NA,4.70,152,NA,15.50,5788311645,Botsuana,38.30,58.70,2.90,1755375,53.20,africa,5.40,2.70,NA,209000000,227000000,0,1836,0.1
2000-12-01,NA,1041,52,49,NA,5.10,12,NA,NA,2610959139,Burkina Faso,46.80,50.50,2.80,11607944,17.80,africa,9.60,4.60,NA,30000000,23000000,0,NA,0
2000-12-01,NA,301,49,47,NA,6.30,7,NA,15.80,870486066,Burundi,49.00,48.10,2.90,6674286,8.20,africa,9.20,4.20,NA,14000000,1400000,0,NA,0
2000-12-01,NA,3432,53,51,NA,4.40,26,NA,22.00,9287367569,Camerun,45.30,51.30,3.40,15927713,45.50,africa,9.30,4.10,NA,241000000,132000000,0,6310,0
2000-12-01,NA,176,48,46,NA,6.30,10,NA,22.00,1385058212,Chad,49.00,48.20,2.80,8301151,21.60,africa,10.60,5.10,NA,56000000,14000000,0,NA,0
2000-12-01,NA,84,59,56,NA,3.50,13,NA,12.00,201899884,Comoros,41.50,55.40,3.10,528312,28.10,africa,7.30,3.90,NA,NA,15000000,0,NA,NA
2000-12-01,NA,1646,48,45,NA,4.80,14,NA,NA,19088046305,Congo (Kinshasa),46.40,50.70,2.80,46949244,35.10,africa,11.50,4.80,NA,NA,NA,0,16679,0
2000-12-01,NA,1049,53,51,NA,2.10,22,NA,22.00,3219910666,Congo (Kinshasa),41.90,54.50,3.60,3126204,58.70,africa,7.70,3.90,NA,59000000,12400000,0,814,0
2000-12-01,NA,6791,47,46,NA,6.50,42,NA,NA,10417060605,Costa de Marfil,42.10,55.00,2.90,16131332,43.50,africa,10.00,3.80,NA,291000000,53000000,0,6734,0
2000-12-01,NA,141326,71,66,NA,5.40,79,NA,13.20,99838540997,Egipto,35.40,59.20,5.30,66136590,42.80,africa,3.60,2.50,NA,1206000000,4657000000,0,40658,0
2000-12-01,NA,609,58,54,NA,4.50,7,NA,NA,706370812,Eritrea,47.00,51.20,1.80,3939348,17.60,africa,5.80,4.00,NA,NA,36000000,0,708,NA
2000-12-01,NA,5831,53,51,NA,4.30,5,NA,10.90,8091384891,Etiopia,46.60,50.30,3.10,66024199,14.70,africa,9.00,4.40,NA,80000000,205000000,0,25242,0
2000-12-01,NA,1052,61,59,NA,2.90,118,NA,22.00,5067865503,Gabon,40.60,53.50,5.90,1225527,80.10,africa,5.60,3.40,NA,183000000,99000000,0,1463,0.1
2000-12-01,NA,275,56,54,NA,4.50,29,NA,24.00,782913866,Gambia,45.90,51.40,2.70,1228863,47.90,africa,6.30,4.50,NA,NA,NA,0,NA,0
2000-12-01,NA,6289,58,56,NA,4.80,13,NA,NA,4982849054,Ghana,41.40,55.60,3.00,18825034,43.90,africa,6.50,3.50,NA,162000000,357000000,0,7736,0
2000-12-01,NA,1280,51,51,NA,5.60,19,NA,19.40,2995360969,Guinea,44.00,52.50,3.40,8746128,31.00,africa,10.30,4.20,NA,13000000,7800000,0,NA,0
2000-12-01,NA,455,49,46,NA,2.40,57,NA,22.00,1045998534,Guinea Ecuatorial,42.60,53.70,3.70,518179,38.80,africa,9.90,4.00,NA,19000000,5000000,0,NA,0
2000-12-01,NA,147,53,50,NA,4.90,16,NA,NA,361858968,Guinea-Bissau,43.50,53.40,3.10,1273312,36.70,africa,10.90,4.20,NA,NA,NA,0,NA,NA
2000-12-01,NA,10418,54,52,NA,4.70,19,NA,22.30,12705350153,Kenia,44.20,53.10,2.80,31285050,19.90,africa,6.90,3.90,NA,156000000,500000000,0,14055,0
2000-12-01,NA,NA,48,47,NA,6.90,29,NA,17.10,771200632,Lesoto,41.20,54.30,4.50,1856225,19.50,africa,8.10,3.10,NA,195000000,18000000,0,NA,0
