Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,Document Type,Publication Stage,Access Type,Source,EID
"Roy K.C., Cebrian M., Hasan S.","57208923159;8724466500;55166094600;","Quantifying human mobility resilience to extreme events using geo-located social media data",2019,"EPJ Data Science","8","1", 18,"","",,,"10.1140/epjds/s13688-019-0196-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066153901&doi=10.1140%2fepjds%2fs13688-019-0196-6&partnerID=40&md5=b5731660c2461bcdb157f8b7f8d32561","Department of Civil, Environmental, and Construction Engineering, University of Central Florida, Orlando, United States; Media Laboratory, Massachusetts Institute of Technology, Cambridge, United States","Roy, K.C., Department of Civil, Environmental, and Construction Engineering, University of Central Florida, Orlando, United States; Cebrian, M., Media Laboratory, Massachusetts Institute of Technology, Cambridge, United States; Hasan, S., Department of Civil, Environmental, and Construction Engineering, University of Central Florida, Orlando, United States","Geo-location data; Human mobility; Resilience; Social media","Disasters; Economics; Social networking (online); Disaster resiliences; Geolocations; Human mobility; Resilience; Resilience metrics; Social media; Social media datum; Socio-economic impacts; Economic and social effects",Article,"Final",Open Access,Scopus,2-s2.0-85066153901
"Alizadeh M., Weber I., Cioffi-Revilla C., Fortunato S., Macy M.","56400437200;8943847500;6603233416;7005680829;57207509956;","Psychology and morality of political extremists: evidence from Twitter language analysis of alt-right and Antifa",2019,"EPJ Data Science","8","1", 17,"","",,,"10.1140/epjds/s13688-019-0193-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065925699&doi=10.1140%2fepjds%2fs13688-019-0193-9&partnerID=40&md5=9f18d671a59069caa808bef726ea47a1","Empirical Studies of Conflict Project, Woodrow Wilson School of Public and International Affairs, Princeton University, Princeton, United States; Qatar Computing Research Institute, Doha, Qatar; Computational Social Science Program, Department of Computational and Data Sciences, George Mason University, Fairfax, United States; Center for Complex Networks and Systems Research, School of Informatics, Computing, and Engineering, Indiana University, Bloomington, United States; Social Dynamics Laboratory, Department of Sociology, Cornell University, Ithaca, United States","Alizadeh, M., Empirical Studies of Conflict Project, Woodrow Wilson School of Public and International Affairs, Princeton University, Princeton, United States; Weber, I., Qatar Computing Research Institute, Doha, Qatar; Cioffi-Revilla, C., Computational Social Science Program, Department of Computational and Data Sciences, George Mason University, Fairfax, United States; Fortunato, S., Center for Complex Networks and Systems Research, School of Informatics, Computing, and Engineering, Indiana University, Bloomington, United States; Macy, M., Social Dynamics Laboratory, Department of Sociology, Cornell University, Ithaca, United States","Language analysis; LIWC; Moral foundations theory; Political extremism; Psychological profile","Social networking (online); Language analysis; LIWC; Moral foundations theory; Political extremism; Psychological profile; Foundations",Article,"Final",Open Access,Scopus,2-s2.0-85065925699
"Elejalde E., Ferres L., Schifanella R.","56244803400;14055701500;13605616200;","Understanding news outlets’ audience-targeting patterns",2019,"EPJ Data Science","8","1", 16,"","",,,"10.1140/epjds/s13688-019-0194-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065919884&doi=10.1140%2fepjds%2fs13688-019-0194-8&partnerID=40&md5=20f394b0856adc9d99fb41f93be1ab4c","L3S Research Center, Leibniz-University, Hannover, Germany; Data Science Institute, Universidad del Desarrollo, Santiago, Chile; Telefónica R&D, Santiago, Chile; University of Turin, Turin, Italy","Elejalde, E., L3S Research Center, Leibniz-University, Hannover, Germany; Ferres, L., Data Science Institute, Universidad del Desarrollo, Santiago, Chile, Telefónica R&D, Santiago, Chile; Schifanella, R., University of Turin, Turin, Italy","Gravity model; Media ecosystem; News spreading; Propaganda model","Ecosystems; Regression analysis; Gravity model; News spreading; Reachability; Regression model; Newsprint",Article,"Final",Open Access,Scopus,2-s2.0-85065919884
"Ghalmane Z., El Hassouni M., Cherifi C., Cherifi H.","57205197386;55943083400;36476047200;55999019900;","Centrality in modular networks",2019,"EPJ Data Science","8","1", 15,"","",,,"10.1140/epjds/s13688-019-0195-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065637466&doi=10.1140%2fepjds%2fs13688-019-0195-7&partnerID=40&md5=41684185a2e38fc5e7748eef14eb03df","LRIT URAC No 29, Faculty of Science, Rabat IT Center, Mohammed V University, Rabat, Morocco; DISP Lab, University of Lyon 2, Lyon, France; LE2I, UMR6306 CNRS, University of Burgundy, Dijon, France","Ghalmane, Z., LRIT URAC No 29, Faculty of Science, Rabat IT Center, Mohammed V University, Rabat, Morocco, LE2I, UMR6306 CNRS, University of Burgundy, Dijon, France; El Hassouni, M., LRIT URAC No 29, Faculty of Science, Rabat IT Center, Mohammed V University, Rabat, Morocco; Cherifi, C., DISP Lab, University of Lyon 2, Lyon, France; Cherifi, H., LE2I, UMR6306 CNRS, University of Burgundy, Dijon, France","Centrality measures; Community Structure; Influential nodes; SIR model","Eigenvalues and eigenfunctions; Viruses; Centrality measures; Community structures; Dynamics of networks; Influential nodes; Information diffusion; Real-world networks; SIR model; Susceptible-infected-recovered model; Computer networks",Article,"Final",Open Access,Scopus,2-s2.0-85065637466
"Aiello L.M., Schifanella R., Quercia D., Del Prete L.","25630530900;13605616200;14038000600;57208565917;","Large-scale and high-resolution analysis of food purchases and health outcomes",2019,"EPJ Data Science","8","1", 14,"","",,,"10.1140/epjds/s13688-019-0191-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065148735&doi=10.1140%2fepjds%2fs13688-019-0191-y&partnerID=40&md5=6291c3ac3d4ce4b72fe7e4f41b525a02","Nokia Bell Labs, Cambridge, United Kingdom; University of Turin, Turin, Italy; Centre for Urban Science and Progress (CUSP), King’s College, London, United Kingdom; Tesco Labs, London, United Kingdom","Aiello, L.M., Nokia Bell Labs, Cambridge, United Kingdom; Schifanella, R., University of Turin, Turin, Italy; Quercia, D., Nokia Bell Labs, Cambridge, United Kingdom, Centre for Urban Science and Progress (CUSP), King’s College, London, United Kingdom; Del Prete, L., Tesco Labs, London, United Kingdom","Cholesterol; Diabetes; Digital purchase records; Grocery; Hypertension; London; Loyalty card; Metabolic syndrome; Nutrition","Cholesterol; Food supply; Insurance; Medical problems; Metabolism; Nutrition; Regression analysis; Sales; Surveys; Digital purchase records; Grocery; Hypertension; London; Loyalty card; Metabolic syndromes; Nutrients",Article,"Final",Open Access,Scopus,2-s2.0-85065148735
"Calanca F., Sayfullina L., Minkus L., Wagner C., Malmi E.","56888673400;56951062700;57202005720;55588402400;36005150600;","Responsible team players wanted: an analysis of soft skill requirements in job advertisements",2019,"EPJ Data Science","8","1", 13,"","",,,"10.1140/epjds/s13688-019-0190-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065017590&doi=10.1140%2fepjds%2fs13688-019-0190-z&partnerID=40&md5=10f6c91f8bf1b5f4ab088a44c378943c","Sapienza University of Rome, Rome, Italy; Aalto University, Helsinki, Finland; University of Bremen, Bremen, Germany; GESIS – Leibniz Institute for the Social Sciences, Cologne, Germany; University Koblenz, Koblenz, Germany","Calanca, F., Sapienza University of Rome, Rome, Italy; Sayfullina, L., Aalto University, Helsinki, Finland; Minkus, L., University of Bremen, Bremen, Germany; Wagner, C., GESIS – Leibniz Institute for the Social Sciences, Cologne, Germany, University Koblenz, Koblenz, Germany; Malmi, E., Aalto University, Helsinki, Finland","Computational social science; Crowdsourcing; Gender inequality; Job advertisement; Labour markets; Soft skills; Text mining","Commerce; Crowdsourcing; Data mining; Wages; Computational social science; Gender inequality; Job advertisement; Labour market; Soft skills; Text mining; Employment",Article,"Final",Open Access,Scopus,2-s2.0-85065017590
"Su X., Hu H.","57208262675;55740754600;","Gender-specific preference in online dating",2019,"EPJ Data Science","8","1", 12,"","",,,"10.1140/epjds/s13688-019-0192-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064260228&doi=10.1140%2fepjds%2fs13688-019-0192-x&partnerID=40&md5=33aab53cbf2ea6083741c0473f5c56ee","East China University of Science and Technology, Shanghai, China","Su, X., East China University of Science and Technology, Shanghai, China; Hu, H., East China University of Science and Technology, Shanghai, China","Mate choice; Online dating; Preference; Social network","Behavioral research; Economics; Game theory; Classification methods; Correlation analysis; Mate choice; Online dating; Positive correlations; Potential partners; Preference; Socio-economic status; Social networking (online)",Article,"Final",Open Access,Scopus,2-s2.0-85064260228
"Koh V., Li W., Livan G., Capra L.","57208059048;56920868100;35366644500;7003753918;","Offline biases in online platforms: a study of diversity and homophily in Airbnb",2019,"EPJ Data Science","8","1", 11,"","",,,"10.1140/epjds/s13688-019-0189-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063671526&doi=10.1140%2fepjds%2fs13688-019-0189-5&partnerID=40&md5=781265428610f5e29432f72733338a96","Department of Computer Science, University College London, London, United Kingdom; Systemic Risk Centre, London School of Economics and Political Science, London, United Kingdom","Koh, V., Department of Computer Science, University College London, London, United Kingdom; Li, W., Department of Computer Science, University College London, London, United Kingdom, Systemic Risk Centre, London School of Economics and Political Science, London, United Kingdom; Livan, G., Department of Computer Science, University College London, London, United Kingdom, Systemic Risk Centre, London School of Economics and Political Science, London, United Kingdom; Capra, L., Department of Computer Science, University College London, London, United Kingdom","Homophily; Online User Behavior; Sharing Economy; Social Networks; Statistical Validation","Behavioral research; Social networking (online); Equal opportunity; Homophily; Level playing fields; Online platforms; Online users; Platform design; Sharing Economy; Statistical validation; Electronic document exchange",Article,"Final",,Scopus,2-s2.0-85063671526
"Gutiérrez-Roig M., Borge-Holthoefer J., Arenas A., Perelló J.","54880570600;36011530300;7006307933;7006849571;","Mapping individual behavior in financial markets: synchronization and anticipation",2019,"EPJ Data Science","8","1", 10,"","",,,"10.1140/epjds/s13688-019-0188-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063642794&doi=10.1140%2fepjds%2fs13688-019-0188-6&partnerID=40&md5=d5dad621e3f7adf134e598b3d6e8adcc","Data Science Lab, Warwick Busniess School, University of Warwick, Coventry, United Kingdom; Internet Interdisciplinary Institute (IN3), Universitat Oberta de Catalunya, Barcelona, Spain; Departament d’Enginyeria Informàtica i Matemàtiques, Universitat Rovira i Virgili, Tarragona, Spain; Departament de Física de la Matèria Condensada, Universitat de Barcelona, Barcelona, Spain; Institute of Complex Systems UBICS, Universitat de Barcelona, Barcelona, Spain","Gutiérrez-Roig, M., Data Science Lab, Warwick Busniess School, University of Warwick, Coventry, United Kingdom, Departament de Física de la Matèria Condensada, Universitat de Barcelona, Barcelona, Spain; Borge-Holthoefer, J., Internet Interdisciplinary Institute (IN3), Universitat Oberta de Catalunya, Barcelona, Spain; Arenas, A., Departament d’Enginyeria Informàtica i Matemàtiques, Universitat Rovira i Virgili, Tarragona, Spain; Perelló, J., Departament de Física de la Matèria Condensada, Universitat de Barcelona, Barcelona, Spain, Institute of Complex Systems UBICS, Universitat de Barcelona, Barcelona, Spain","Behavioral economics; Financial markets; Mutual information; Networks; Transfer of entropy","Behavioral research; Commerce; Decision trees; Entropy; Financial markets; Investments; Networks (circuits); Synchronization; Behavioral economics; Individual behavior; Mutual informations; Network structures; Prediction accuracy; Private investment; Professional investors; Synchronization network; Data communication systems",Article,"Final",Open Access,Scopus,2-s2.0-85063642794
"Ghosh A., Monsivais D., Bhattacharya K., Dunbar R.I.M., Kaski K.","36473269100;57188880019;56393982900;57198094444;26643315700;","Quantifying gender preferences in human social interactions using a large cellphone dataset",2019,"EPJ Data Science","8","1", 9,"","",,,"10.1140/epjds/s13688-019-0185-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062952031&doi=10.1140%2fepjds%2fs13688-019-0185-9&partnerID=40&md5=2945b6d40bcc2e0aa75c30b90ea0ce3d","Department of Computer Science, Aalto University School of Science, Espoo, Finland; Department of Experimental Psychology, University of Oxford, Oxford, United Kingdom","Ghosh, A., Department of Computer Science, Aalto University School of Science, Espoo, Finland; Monsivais, D., Department of Computer Science, Aalto University School of Science, Espoo, Finland; Bhattacharya, K., Department of Computer Science, Aalto University School of Science, Espoo, Finland; Dunbar, R.I.M., Department of Experimental Psychology, University of Oxford, Oxford, United Kingdom; Kaski, K., Department of Computer Science, Aalto University School of Science, Espoo, Finland","Egocentric networks; Gender differences; Life history; Mobile phones; Sex differences; Social networks","Behavioral research; Cellular telephones; Cellular telephones; Social networking (online); Call detail records; Ego-centric networks; Gender differences; Human interactions; Human social interactions; Life history; Relative strength; Sex difference; Large dataset",Article,"Final",Open Access,Scopus,2-s2.0-85062952031
"Zignani M., Quadri C., Gaito S., Rossi G.P.","36811000900;54929336800;9636090900;35194784700;","Urban groups: behavior and dynamics of social groups in urban space",2019,"EPJ Data Science","8","1", 8,"","",,,"10.1140/epjds/s13688-019-0187-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062548865&doi=10.1140%2fepjds%2fs13688-019-0187-7&partnerID=40&md5=4b611390885b2f60cf17348a07463183","Department of Computer Science, University of Milan, Milan, Italy","Zignani, M., Department of Computer Science, University of Milan, Milan, Italy; Quadri, C.; Gaito, S.; Rossi, G.P.","City’s points of interest; Group points of interest; Mobile phone graph; Mobile social groups; Quasi-clique","Cellular telephones; Digital storage; Location; Urban planning; Call detail records; Interaction pattern; Internet activity; Metropolitan area; Mobile subscribers; Points of interest; Quasi-clique; Social groups; Behavioral research",Article,"Final",Open Access,Scopus,2-s2.0-85062548865
"Boldrini C., Bruno R., Laarabi M.H.","57192361407;57193112203;55835328000;","Weak signals in the mobility landscape: car sharing in ten European cities",2019,"EPJ Data Science","8","1", 7,"","",,,"10.1140/epjds/s13688-019-0186-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062279025&doi=10.1140%2fepjds%2fs13688-019-0186-8&partnerID=40&md5=efeec71400c5f5d13004209f46502114","IIT-CNR, Pisa, Italy","Boldrini, C., IIT-CNR, Pisa, Italy; Bruno, R., IIT-CNR, Pisa, Italy; Laarabi, M.H., IIT-CNR, Pisa, Italy","Car sharing; Data mining; Smart transportation; Urban computing","Data mining; Traffic congestion; Urban transportation; Demand modelling; Maintenance facility; Parking demands; Spatiotemporal information; Traditional approaches; Traditional techniques; Transportation infrastructures; Urban computing; Electronic document exchange",Article,"Final",Open Access,Scopus,2-s2.0-85062279025
